score,relative_path,suffix,size,sha1_head,tags,name_hits,content_hits,reference_hits,mp_QueryName,mp_ScriptName,ActivationRadius
89,content/dlc/zombiepack/gringos/z_dlc_z_overrun_dropgun.xml,.xml,5033,EBD3D745BB890796B53E5FF4D2225A95CC08E26C,descriptor;dlc_or_zombie,content;gringo,gringo;gringo_descriptor_fields;scripting,content\scripting\gringo\CommonScripts,SingleHotspot,content\scripting\gringo\CommonScripts\GenericGringo,0.0
89,content/dlc/zombiepack/gringos/z_dlc_z_overrun_suicide.xml,.xml,5033,90ACDAE0716DE4FDD12342DF29698867DEF69441,descriptor;dlc_or_zombie,content;gringo,gringo;gringo_descriptor_fields;scripting,content\scripting\gringo\CommonScripts,SingleHotspot,content\scripting\gringo\CommonScripts\GenericGringo,0.0
89,content/dlc/zombiepack/gringos/zombiepack_getmissingposter.xml,.xml,5848,75D4A6DD1077EFE9CF1C6EF4655DE4E8E7C78D3B,descriptor;dlc_or_zombie,content;gringo,gringo;gringo_descriptor_fields;scripting,content\scripting\gringo\CommonScripts,PoleAnimation,content\scripting\gringo\CommonScripts\GetWantedPosterGround,0.0
89,content/dlc/zombiepack/gringos/zombiepack_horsehitch.xml,.xml,5246,682624D2C462B2D3D1F491D7C8B1364D354370A2,descriptor;dlc_or_zombie,content;gringo,gringo;gringo_descriptor_fields;scripting,content\scripting\gringo\CommonScripts,SingleHotspot,content\scripting\gringo\CommonScripts\horseHitching,0.0
89,content/dlc/zombiepack/gringos/zombiepack_horsehitch2.xml,.xml,5245,C359F985828480AB33AF9E490060151A73CD9653,descriptor;dlc_or_zombie,content;gringo,gringo;gringo_descriptor_fields;scripting,content\scripting\gringo\CommonScripts,SingleHotspot,content\scripting\gringo\CommonScripts\horseHitching,0.0
89,content/dlc/zombiepack/gringos/zombiepack_placeposter.xml,.xml,6381,B8C45B61A9C22440F924CF90B27FC85370F3989F,descriptor;dlc_or_zombie,content;gringo,gringo;gringo_descriptor_fields;scripting,content\scripting\gringo\CommonScripts,PoleAnimation,content\scripting\gringo\CommonScripts\GenericGringo,1.0
89,content/release64/scripting/gringo/commonscripts/playercamp01_gringo.wsc,.wsc,10562,877A581D5FDB9AC163E621ECC1C4277C738A6E3D,playercamp;wsi,camp;content;gringo;playercamp;release64;script;wsc,wsi,,,,
77,content/init/inventory/inventory.xml,.xml,123723,2598ED2EE058009D5A7BB9727E1EAB1F7005687D,,content,camp;gringo;scripting,campfire,,,
75,content/dlc/zombiepack/gringos/zombie_camp02.xml,.xml,421,D4BC7C3D7350C0B5FC546756AF48FB0832A6BDD6,descriptor;dlc_or_zombie,camp;content;gringo,camp;gringo;gringo_descriptor_fields,,POISpawnGringo,content\DLC\ZombiePack\Gringos\Scripts\Zombie_Camp02_gringo,175
75,content/dlc/zombiepack/gringos/zombie_camp03.xml,.xml,421,5F61673BD57D8315D108E6671696027D1633DBAA,descriptor;dlc_or_zombie,camp;content;gringo,camp;gringo;gringo_descriptor_fields,,POISpawnGringo,content\DLC\ZombiePack\Gringos\Scripts\Zombie_Camp03_gringo,175
71,content/dlc/zombiepack/gringos/blunderbuss_parts.xml,.xml,908,BA8119444B721EFCAA5328B329E9E27ED85CFBF1,descriptor;dlc_or_zombie,content;gringo,gringo;gringo_descriptor_fields;scripting,,ItemAttribs,content\scripting\gringo\ItemScripts\Empty_Item,0.0
71,content/dlc/zombiepack/gringos/horse_deed_death_z.xml,.xml,1111,9FA78988429EF9E529B312F73CC02807A2ABB95C,descriptor;dlc_or_zombie,content;gringo,gringo;gringo_descriptor_fields;scripting,,ItemAttribs,content\scripting\gringo\ItemScripts\Horse_Deed,0.0
71,content/dlc/zombiepack/gringos/horse_deed_famine_z.xml,.xml,1114,CF40EB3728B60C01ED897336FD47280288D48264,descriptor;dlc_or_zombie,content;gringo,gringo;gringo_descriptor_fields;scripting,,ItemAttribs,content\scripting\gringo\ItemScripts\Horse_Deed,0.0
71,content/dlc/zombiepack/gringos/horse_deed_pestilence_z.xml,.xml,1126,F7B546413B2544F303550944788F7CA29FD9CD4F,descriptor;dlc_or_zombie,content;gringo,gringo;gringo_descriptor_fields;scripting,,ItemAttribs,content\scripting\gringo\ItemScripts\Horse_Deed,0.0
71,content/dlc/zombiepack/gringos/horse_deed_war_z.xml,.xml,1105,6E7B5B5CD1C4E358891000D56EBF06940AD94D1A,descriptor;dlc_or_zombie,content;gringo,gringo;gringo_descriptor_fields;scripting,,ItemAttribs,content\scripting\gringo\ItemScripts\Horse_Deed,0.0
71,content/dlc/zombiepack/gringos/zombiepack_player_sleep_bed_l.xml,.xml,5667,0811B8D86D9B7BF77F41E1704899A01D9CDAD62C,descriptor;dlc_or_zombie,content;gringo,camp;gringo;gringo_descriptor_fields,,SingleHotspot,content\DLC\ZombiePack\Gringos\Scripts\ZombiePack_SleepGringo,0.0
71,content/dlc/zombiepack/gringos/zombiepack_player_sleep_bed_r.xml,.xml,5667,0811B8D86D9B7BF77F41E1704899A01D9CDAD62C,descriptor;dlc_or_zombie,content;gringo,camp;gringo;gringo_descriptor_fields,,SingleHotspot,content\DLC\ZombiePack\Gringos\Scripts\ZombiePack_SleepGringo,0.0
71,content/dlc/zombiepack/gringos/zombiepack_player_sleep_ground.xml,.xml,5028,E5694D070A022FCC77049495A4DEB4E2B2A30B6F,descriptor;dlc_or_zombie,content;gringo,camp;gringo;gringo_descriptor_fields,,SingleHotspot,content\DLC\ZombiePack\Gringos\Scripts\ZombiePack_SleepGringo,0.0
66,content/release64/scripting/gringo/commonscripts/vehicle_generator.wsc,.wsc,2372,B754BD583399726F568F2E406F3DCDB9D472A11C,vehicle_generator,content;generator;gringo;release64;script;vehicle;wsc,,,,,
65,content/ambient/placementglobals.xml,.xml,7356,8987D6576D593022C652E61BF211912B372F2A76,campfire,content,camp,campfire,,,
61,content/dlc/zombiepack/gringos/blunderbussammokit.xml,.xml,1257,46A289812C50DC5CB35169CAB369F8FA90C41422,descriptor;dlc_or_zombie,content;gringo,gringo;gringo_descriptor_fields,,UseAnim,content\DLC\ZombiePack\gringos\Scripts\BlunderbussAmmoKit,0.0
61,content/dlc/zombiepack/gringos/dlc_eating_multi.xml,.xml,14861,F31A7866F59E16D7A1F9DA6CBC1C64EEE43E7C6E,descriptor;dlc_or_zombie,content;gringo,gringo;gringo_descriptor_fields,,SpawnHotspot,content\dlc\zombiePack\gringos\scripts\DLC_Eating_Multi,0.0
61,content/dlc/zombiepack/gringos/dlc_find_blunderbuss.xml,.xml,4937,5957EAD54FC838AC54419FF047474B6959E176AB,descriptor;dlc_or_zombie,content;gringo,gringo;gringo_descriptor_fields,,SingleHotspot,content\DLC\ZombiePack\Gringos\Scripts\DLC_Find_Blunderbuss,0.0
61,content/dlc/zombiepack/gringos/dlc_player_burn_coffin.xml,.xml,10554,AE46002053C0F276C0B95D2F7D407AE26AE5F903,descriptor;dlc_or_zombie,content;gringo,gringo;gringo_descriptor_fields,,SingleHotspot,content\DLC\ZombiePack\Gringos\Scripts\DLC_player_burn_coffin,0.0
61,content/dlc/zombiepack/gringos/holyrelic.xml,.xml,1230,9626C048FB0E3E55D1E8C41C8A722C07DBE9AD22,descriptor;dlc_or_zombie,content;gringo,gringo;gringo_descriptor_fields,,UseAnim,content\DLC\ZombiePack\gringos\Scripts\Holy_Relic,0.0
61,content/dlc/zombiepack/gringos/missing_persons_poster.xml,.xml,2707,72ED089D94F0F070DEB3EE252E1120D3AC30E439,descriptor;dlc_or_zombie,content;gringo,gringo;gringo_descriptor_fields,,UseAnim,content\DLC\ZombiePack\gringos\Scripts\MissingPersonsPoster,0.0
61,content/dlc/zombiepack/gringos/mp_opencoffin.xml,.xml,24153,7EF24F198519CEBA4C5656293EA18DBEB68E9429,descriptor;dlc_or_zombie,content;gringo,gringo;gringo_descriptor_fields,,TargetSkelAnim,content\DLC\ZombiePack\Gringos\Scripts\MP_CoffinPick,3.0
61,content/dlc/zombiepack/gringos/phosphorous.xml,.xml,1387,D997B50D92196099500FCED5508BCD289E3A5A09,descriptor;dlc_or_zombie,content;gringo,gringo;gringo_descriptor_fields,,UseAnim,content\DLC\ZombiePack\gringos\Scripts\Phosphorous,0.0
61,content/dlc/zombiepack/gringos/zombie_treasure_hunting_1.xml,.xml,8189,674AF7FE1A63E0E5D04D4D0E8372211AB2C0BEAE,descriptor;dlc_or_zombie,content;gringo,gringo;gringo_descriptor_fields,,BoxAnimation,content\DLC\ZombiePack\Gringos\Scripts\ZombiePack_Treasure,75.0
61,content/dlc/zombiepack/gringos/zombie_treasure_hunting_2.xml,.xml,8191,7474769D88FBA755A9CF922FC4FC060E5316B3B0,descriptor;dlc_or_zombie,content;gringo,gringo;gringo_descriptor_fields,,BoxAnimation,content\DLC\ZombiePack\Gringos\Scripts\ZombiePack_Treasure,75.0
61,content/dlc/zombiepack/gringos/zombie_treasure_hunting_3.xml,.xml,8191,7474769D88FBA755A9CF922FC4FC060E5316B3B0,descriptor;dlc_or_zombie,content;gringo,gringo;gringo_descriptor_fields,,BoxAnimation,content\DLC\ZombiePack\Gringos\Scripts\ZombiePack_Treasure,75.0
61,content/dlc/zombiepack/gringos/zombie_treasure_hunting_4.xml,.xml,8191,7474769D88FBA755A9CF922FC4FC060E5316B3B0,descriptor;dlc_or_zombie,content;gringo,gringo;gringo_descriptor_fields,,BoxAnimation,content\DLC\ZombiePack\Gringos\Scripts\ZombiePack_Treasure,75.0
61,content/dlc/zombiepack/gringos/zombie_treasure_hunting_5.xml,.xml,8191,7474769D88FBA755A9CF922FC4FC060E5316B3B0,descriptor;dlc_or_zombie,content;gringo,gringo;gringo_descriptor_fields,,BoxAnimation,content\DLC\ZombiePack\Gringos\Scripts\ZombiePack_Treasure,75.0
61,content/dlc/zombiepack/gringos/zombiebaitkit.xml,.xml,1242,847FC251CA95EC858C03EF0A4D235D5EA3B3AAAF,descriptor;dlc_or_zombie,content;gringo,gringo;gringo_descriptor_fields,,UseAnim,content\DLC\ZombiePack\gringos\Scripts\ZombieBaitKit,0.0
