score,relative_path,size,sha1,mp_QueryName,mp_ScriptName,ActivationRadius,bCritical,bMaintainState,bLargeScript
20,content/dlc/zombiepack/gringos/zombie_treasure_hunting_2.xml,8191,7474769D88FBA755A9CF922FC4FC060E5316B3B0,BoxAnimation,content\DLC\ZombiePack\Gringos\Scripts\ZombiePack_Treasure,75.0,false,true,false
20,content/dlc/zombiepack/gringos/zombie_treasure_hunting_3.xml,8191,7474769D88FBA755A9CF922FC4FC060E5316B3B0,BoxAnimation,content\DLC\ZombiePack\Gringos\Scripts\ZombiePack_Treasure,75.0,false,true,false
20,content/dlc/zombiepack/gringos/zombie_treasure_hunting_4.xml,8191,7474769D88FBA755A9CF922FC4FC060E5316B3B0,BoxAnimation,content\DLC\ZombiePack\Gringos\Scripts\ZombiePack_Treasure,75.0,false,true,false
20,content/dlc/zombiepack/gringos/zombie_treasure_hunting_5.xml,8191,7474769D88FBA755A9CF922FC4FC060E5316B3B0,BoxAnimation,content\DLC\ZombiePack\Gringos\Scripts\ZombiePack_Treasure,75.0,false,true,false
20,content/dlc/zombiepack/gringos/zombiebaitkit.xml,1242,847FC251CA95EC858C03EF0A4D235D5EA3B3AAAF,UseAnim,content\DLC\ZombiePack\gringos\Scripts\ZombieBaitKit,0.0,false,true,false
20,content/dlc/zombiepack/gringos/zombieboomkit.xml,1242,4BFC0842EA58D23F3FB03CD6D627DA518D24742F,UseAnim,content\DLC\ZombiePack\gringos\Scripts\ZombieBoomKit,0.0,false,true,false
20,content/dlc/zombiepack/gringos/zombiepack_footlocker.xml,6290,A320B1D1B5B42D65CC14E152BD12A1EC6FDCAC3A,chestAnimation,content\DLC\ZombiePack\Gringos\Scripts\ZombiePack_Footlocker,10.0,false,true,false
20,content/dlc/zombiepack/gringos/zombiepack_getmissingposter.xml,5848,75D4A6DD1077EFE9CF1C6EF4655DE4E8E7C78D3B,PoleAnimation,content\scripting\gringo\CommonScripts\GetWantedPosterGround,0.0,false,true,false
20,content/dlc/zombiepack/gringos/zombiepack_horsehitch.xml,5246,682624D2C462B2D3D1F491D7C8B1364D354370A2,SingleHotspot,content\scripting\gringo\CommonScripts\horseHitching,0.0,false,true,false
20,content/dlc/zombiepack/gringos/zombiepack_horsehitch2.xml,5245,C359F985828480AB33AF9E490060151A73CD9653,SingleHotspot,content\scripting\gringo\CommonScripts\horseHitching,0.0,false,true,false
20,content/dlc/zombiepack/gringos/zombiepack_lootzombie.xml,5161,2EF0A1A1EDC2F652732543792DFC7652C99B09F9,SingleHotspot,content\DLC\ZombiePack\Gringos\Scripts\ZombiePack_LootZombie,1.25,true,true,false
20,content/dlc/zombiepack/gringos/zombiepack_placeposter.xml,6381,B8C45B61A9C22440F924CF90B27FC85370F3989F,PoleAnimation,content\scripting\gringo\CommonScripts\GenericGringo,1.0,false,true,false
20,content/dlc/zombiepack/gringos/zombiepack_player_sleep_bed_l.xml,5667,0811B8D86D9B7BF77F41E1704899A01D9CDAD62C,SingleHotspot,content\DLC\ZombiePack\Gringos\Scripts\ZombiePack_SleepGringo,0.0,false,true,false
20,content/dlc/zombiepack/gringos/zombiepack_player_sleep_bed_r.xml,5667,0811B8D86D9B7BF77F41E1704899A01D9CDAD62C,SingleHotspot,content\DLC\ZombiePack\Gringos\Scripts\ZombiePack_SleepGringo,0.0,false,true,false
20,content/dlc/zombiepack/gringos/zombiepack_player_sleep_ground.xml,5028,E5694D070A022FCC77049495A4DEB4E2B2A30B6F,SingleHotspot,content\DLC\ZombiePack\Gringos\Scripts\ZombiePack_SleepGringo,0.0,false,true,false
