offset,offset_hex,opcode,kind,semantics,instruction_size,instruction_hex,delta,target_candidate
43430,0xA9A6,84,call_candidate,call2,3,54 10 1B,4123,47556
43437,0xA9AD,85,call_candidate,call2,3,55 6B F6,27638,71078
43444,0xA9B4,84,call_candidate,call2,3,54 10 1B,4123,47570
43449,0xA9B9,98,branch_candidate,unconditional_jump,3,62 01 30,304,43756
43466,0xA9CA,99,branch_candidate,jump_false,3,63 00 21,33,43502
43473,0xA9D1,85,call_candidate,call2,3,55 6B F6,27638,71114
43480,0xA9D8,84,call_candidate,call2,3,54 10 1B,4123,47606
43487,0xA9DF,85,call_candidate,call2,3,55 6B F6,27638,71128
43494,0xA9E6,84,call_candidate,call2,3,54 10 1B,4123,47620
43499,0xA9EB,98,branch_candidate,unconditional_jump,3,62 00 FE,254,43756
43513,0xA9F9,99,branch_candidate,jump_false,3,63 00 3D,61,43577
43520,0xAA00,85,call_candidate,call2,3,55 6B F6,27638,71161
43527,0xAA07,84,call_candidate,call2,3,54 10 1B,4123,47653
43534,0xAA0E,85,call_candidate,call2,3,55 6B F6,27638,71175
43541,0xAA15,84,call_candidate,call2,3,54 10 1B,4123,47667
43548,0xAA1C,85,call_candidate,call2,3,55 6B F6,27638,71189
43555,0xAA23,84,call_candidate,call2,3,54 10 1B,4123,47681
43562,0xAA2A,85,call_candidate,call2,3,55 6B F6,27638,71203
43569,0xAA31,84,call_candidate,call2,3,54 10 1B,4123,47695
43574,0xAA36,98,branch_candidate,unconditional_jump,3,62 00 B3,179,43756
43591,0xAA47,99,branch_candidate,jump_false,3,63 00 13,19,43613
43598,0xAA4E,85,call_candidate,call2,3,55 6B F6,27638,71239
43605,0xAA55,84,call_candidate,call2,3,54 10 1B,4123,47731
43610,0xAA5A,98,branch_candidate,unconditional_jump,3,62 00 8F,143,43756
43625,0xAA69,99,branch_candidate,jump_false,3,63 00 80,128,43756
43632,0xAA70,85,call_candidate,call2,3,55 6B F6,27638,71273
43639,0xAA77,84,call_candidate,call2,3,54 10 1B,4123,47765
43646,0xAA7E,85,call_candidate,call2,3,55 6B F6,27638,71287
43653,0xAA85,84,call_candidate,call2,3,54 10 1B,4123,47779
43660,0xAA8C,85,call_candidate,call2,3,55 6B F6,27638,71301
43667,0xAA93,84,call_candidate,call2,3,54 10 1B,4123,47793
43674,0xAA9A,85,call_candidate,call2,3,55 6B F6,27638,71315
43681,0xAAA1,84,call_candidate,call2,3,54 10 1B,4123,47807
43688,0xAAA8,85,call_candidate,call2,3,55 6B F6,27638,71329
43695,0xAAAF,84,call_candidate,call2,3,54 10 1B,4123,47821
43702,0xAAB6,85,call_candidate,call2,3,55 6B F6,27638,71343
43709,0xAABD,84,call_candidate,call2,3,54 10 1B,4123,47835
43716,0xAAC4,85,call_candidate,call2,3,55 6B F6,27638,71357
43723,0xAACB,84,call_candidate,call2,3,54 10 1B,4123,47849
43730,0xAAD2,85,call_candidate,call2,3,55 6B F6,27638,71371
43737,0xAAD9,84,call_candidate,call2,3,54 10 1B,4123,47863
43744,0xAAE0,85,call_candidate,call2,3,55 6B F6,27638,71385
43751,0xAAE7,84,call_candidate,call2,3,54 10 1B,4123,47877
43780,0xAB04,99,branch_candidate,jump_false,3,63 02 62,610,44393
43803,0xAB1B,99,branch_candidate,jump_false,3,63 00 3C,60,43866
43863,0xAB57,98,branch_candidate,unconditional_jump,3,62 02 0D,525,44391
43884,0xAB6C,99,branch_candidate,jump_false,3,63 00 3D,61,43948
43945,0xABA9,98,branch_candidate,unconditional_jump,3,62 01 BB,443,44391
43966,0xABBE,99,branch_candidate,jump_false,3,63 00 3D,61,44030
44027,0xABFB,98,branch_candidate,unconditional_jump,3,62 01 69,361,44391
44047,0xAC0F,99,branch_candidate,jump_false,3,63 00 3C,60,44110
44107,0xAC4B,98,branch_candidate,unconditional_jump,3,62 01 19,281,44391
44124,0xAC5C,99,branch_candidate,jump_false,3,63 00 39,57,44184
44181,0xAC95,98,branch_candidate,unconditional_jump,3,62 00 CF,207,44391
44198,0xACA6,99,branch_candidate,jump_false,3,63 00 3C,60,44261
