package,logical_key,donor_path,staged_path,staged_content_path,donor_size,staged_size,donor_sha1,staged_sha1,donor_crc32,staged_crc32,sha1_match,crc32_match,raw_copy_bytes_match
import_test_both_csc,action_areas/twin_rocks/twinrocksmp,D:\Games\Red Dead Redemption\Code_RED\imports\PSN MULTIPLAYER\content\release64\multiplayer\action_areas\twin_rocks\twinrocksmp.csc,D:\Games\Red Dead Redemption\Code_RED\build\mp_content_restore_pass2\import_test_both_csc\content\release\multiplayer\action_areas\twin_rocks\twinrocksmp.csc,import_test_both_csc/content/release/multiplayer/action_areas/twin_rocks/twinrocksmp.csc,29459,29459,25D61BF7D26A31E82C2A78DDD5691C289C0388E4,25D61BF7D26A31E82C2A78DDD5691C289C0388E4,152159A6,152159A6,True,True,True
import_test_both_csc,action_areas/twin_rocks/twinrocksmp,D:\Games\Red Dead Redemption\Code_RED\imports\PSN MULTIPLAYER\content\release64\multiplayer\action_areas\twin_rocks\twinrocksmp.csc,D:\Games\Red Dead Redemption\Code_RED\build\mp_content_restore_pass2\import_test_both_csc\content\release64\multiplayer\action_areas\twin_rocks\twinrocksmp.csc,import_test_both_csc/content/release64/multiplayer/action_areas/twin_rocks/twinrocksmp.csc,29459,29459,25D61BF7D26A31E82C2A78DDD5691C289C0388E4,25D61BF7D26A31E82C2A78DDD5691C289C0388E4,152159A6,152159A6,True,True,True
import_test_release_csc,action_areas/wilderness/bearwildernessaa,D:\Games\Red Dead Redemption\Code_RED\imports\PSN MULTIPLAYER\content\release64\multiplayer\action_areas\wilderness\bearwildernessaa.csc,D:\Games\Red Dead Redemption\Code_RED\build\mp_content_restore_pass2\import_test_release_csc\content\release\multiplayer\action_areas\wilderness\bearwildernessaa.csc,import_test_release_csc/content/release/multiplayer/action_areas/wilderness/bearwildernessaa.csc,13114,13114,6872EDF5E99581F3C27BB14DD32BBB62A971304C,6872EDF5E99581F3C27BB14DD32BBB62A971304C,6CD4A6F1,6CD4A6F1,True,True,True
import_test_release64_csc,action_areas/wilderness/bearwildernessaa,D:\Games\Red Dead Redemption\Code_RED\imports\PSN MULTIPLAYER\content\release64\multiplayer\action_areas\wilderness\bearwildernessaa.csc,D:\Games\Red Dead Redemption\Code_RED\build\mp_content_restore_pass2\import_test_release64_csc\content\release64\multiplayer\action_areas\wilderness\bearwildernessaa.csc,import_test_release64_csc/content/release64/multiplayer/action_areas/wilderness/bearwildernessaa.csc,13114,13114,6872EDF5E99581F3C27BB14DD32BBB62A971304C,6872EDF5E99581F3C27BB14DD32BBB62A971304C,6CD4A6F1,6CD4A6F1,True,True,True
import_test_both_csc,action_areas/wilderness/bearwildernessaa,D:\Games\Red Dead Redemption\Code_RED\imports\PSN MULTIPLAYER\content\release64\multiplayer\action_areas\wilderness\bearwildernessaa.csc,D:\Games\Red Dead Redemption\Code_RED\build\mp_content_restore_pass2\import_test_both_csc\content\release\multiplayer\action_areas\wilderness\bearwildernessaa.csc,import_test_both_csc/content/release/multiplayer/action_areas/wilderness/bearwildernessaa.csc,13114,13114,6872EDF5E99581F3C27BB14DD32BBB62A971304C,6872EDF5E99581F3C27BB14DD32BBB62A971304C,6CD4A6F1,6CD4A6F1,True,True,True
import_test_both_csc,action_areas/wilderness/bearwildernessaa,D:\Games\Red Dead Redemption\Code_RED\imports\PSN MULTIPLAYER\content\release64\multiplayer\action_areas\wilderness\bearwildernessaa.csc,D:\Games\Red Dead Redemption\Code_RED\build\mp_content_restore_pass2\import_test_both_csc\content\release64\multiplayer\action_areas\wilderness\bearwildernessaa.csc,import_test_both_csc/content/release64/multiplayer/action_areas/wilderness/bearwildernessaa.csc,13114,13114,6872EDF5E99581F3C27BB14DD32BBB62A971304C,6872EDF5E99581F3C27BB14DD32BBB62A971304C,6CD4A6F1,6CD4A6F1,True,True,True
import_test_release_csc,action_areas/wilderness/boarwildernessaa,D:\Games\Red Dead Redemption\Code_RED\imports\PSN MULTIPLAYER\content\release64\multiplayer\action_areas\wilderness\boarwildernessaa.csc,D:\Games\Red Dead Redemption\Code_RED\build\mp_content_restore_pass2\import_test_release_csc\content\release\multiplayer\action_areas\wilderness\boarwildernessaa.csc,import_test_release_csc/content/release/multiplayer/action_areas/wilderness/boarwildernessaa.csc,13040,13040,FE9D5B69407BF992B76598F1A49395115C5126B7,FE9D5B69407BF992B76598F1A49395115C5126B7,A774BEC6,A774BEC6,True,True,True
import_test_release64_csc,action_areas/wilderness/boarwildernessaa,D:\Games\Red Dead Redemption\Code_RED\imports\PSN MULTIPLAYER\content\release64\multiplayer\action_areas\wilderness\boarwildernessaa.csc,D:\Games\Red Dead Redemption\Code_RED\build\mp_content_restore_pass2\import_test_release64_csc\content\release64\multiplayer\action_areas\wilderness\boarwildernessaa.csc,import_test_release64_csc/content/release64/multiplayer/action_areas/wilderness/boarwildernessaa.csc,13040,13040,FE9D5B69407BF992B76598F1A49395115C5126B7,FE9D5B69407BF992B76598F1A49395115C5126B7,A774BEC6,A774BEC6,True,True,True
import_test_both_csc,action_areas/wilderness/boarwildernessaa,D:\Games\Red Dead Redemption\Code_RED\imports\PSN MULTIPLAYER\content\release64\multiplayer\action_areas\wilderness\boarwildernessaa.csc,D:\Games\Red Dead Redemption\Code_RED\build\mp_content_restore_pass2\import_test_both_csc\content\release\multiplayer\action_areas\wilderness\boarwildernessaa.csc,import_test_both_csc/content/release/multiplayer/action_areas/wilderness/boarwildernessaa.csc,13040,13040,FE9D5B69407BF992B76598F1A49395115C5126B7,FE9D5B69407BF992B76598F1A49395115C5126B7,A774BEC6,A774BEC6,True,True,True
import_test_both_csc,action_areas/wilderness/boarwildernessaa,D:\Games\Red Dead Redemption\Code_RED\imports\PSN MULTIPLAYER\content\release64\multiplayer\action_areas\wilderness\boarwildernessaa.csc,D:\Games\Red Dead Redemption\Code_RED\build\mp_content_restore_pass2\import_test_both_csc\content\release64\multiplayer\action_areas\wilderness\boarwildernessaa.csc,import_test_both_csc/content/release64/multiplayer/action_areas/wilderness/boarwildernessaa.csc,13040,13040,FE9D5B69407BF992B76598F1A49395115C5126B7,FE9D5B69407BF992B76598F1A49395115C5126B7,A774BEC6,A774BEC6,True,True,True
import_test_release_csc,action_areas/wilderness/cougarwildernessaa,D:\Games\Red Dead Redemption\Code_RED\imports\PSN MULTIPLAYER\content\release64\multiplayer\action_areas\wilderness\cougarwildernessaa.csc,D:\Games\Red Dead Redemption\Code_RED\build\mp_content_restore_pass2\import_test_release_csc\content\release\multiplayer\action_areas\wilderness\cougarwildernessaa.csc,import_test_release_csc/content/release/multiplayer/action_areas/wilderness/cougarwildernessaa.csc,13049,13049,9B410E83BC29DA293F4F9D13D40645FEA92DCD62,9B410E83BC29DA293F4F9D13D40645FEA92DCD62,58169875,58169875,True,True,True
