index,type,path,name,extension,offset,size_in_archive,total_size,is_resource,is_compressed,resource_type
1877,file,root/content/release/multiplayer/regions/ctf_arm/ctf_arm.xsc,ctf_arm.xsc,.xsc,26426392,12574,12574,False,False,
1878,file,root/content/release/multiplayer/regions/ctf_arm/ctf_arm_single.csc,ctf_arm_single.csc,.csc,26438968,12984,12984,False,False,
1879,file,root/content/release/multiplayer/regions/ctf_arm/ctf_arm_sym.xsc,ctf_arm_sym.xsc,.xsc,26477200,12246,12246,False,False,
1880,file,root/content/release/multiplayer/regions/ctf_arm/ctf_arm_sym.csc,ctf_arm_sym.csc,.csc,26464280,12918,12918,False,False,
1881,file,root/content/release/multiplayer/regions/ctf_arm/ctf_arm_single.xsc,ctf_arm_single.xsc,.xsc,26451960,12312,12312,False,False,
1882,file,root/content/release/multiplayer/regions/ctf_arm/ctf_arm.csc,ctf_arm.csc,.csc,26413048,13342,13342,False,False,
1883,file,root/content/release/multiplayer/regions/dm_hen/deathmatch_hen.xsc,deathmatch_hen.xsc,.xsc,26833576,12868,12868,False,False,
1884,file,root/content/release/multiplayer/regions/dm_hen/deathmatch_hen.csc,deathmatch_hen.csc,.csc,26819976,13599,13599,False,False,
1885,file,root/content/release/multiplayer/regions/dm_chu/deathmatch_chu.csc,deathmatch_chu.csc,.csc,26795912,12338,12338,False,False,
1886,file,root/content/release/multiplayer/regions/dm_chu/deathmatch_chu.xsc,deathmatch_chu.xsc,.xsc,26808256,11718,11718,False,False,
1887,file,root/content/release/multiplayer/regions/minigames/poker_sb.xsc,poker_sb.xsc,.xsc,26906832,2650,2650,False,False,
1888,file,root/content/release/multiplayer/regions/minigames/liarsdice_sb.xsc,liarsdice_sb.xsc,.xsc,26901504,2634,2634,False,False,
1889,file,root/content/release/multiplayer/regions/minigames/liarsdice_sb.csc,liarsdice_sb.csc,.csc,26898832,2666,2666,False,False,
1890,file,root/content/release/multiplayer/regions/minigames/poker_sb.csc,poker_sb.csc,.csc,26904144,2685,2685,False,False,
1891,file,root/content/release/multiplayer/regions/dm_lsh/deathmatch_lsh.xsc,deathmatch_lsh.xsc,.xsc,26860160,12918,12918,False,False,
1892,file,root/content/release/multiplayer/regions/dm_lsh/deathmatch_lsh.csc,deathmatch_lsh.csc,.csc,26846448,13710,13710,False,False,
1893,file,root/content/release/multiplayer/spectator/0x2CCCA224,0x2CCCA224,,26982968,2502,2502,False,False,
1894,file,root/content/release/multiplayer/spectator/mp_spectator.xsc,mp_spectator.xsc,.xsc,26985472,2492,2492,False,False,
1895,file,root/content/release/multiplayer/spectator/mp_spectatormk2.csc,mp_spectatormk2.csc,.csc,26987968,3660,3660,False,False,
1896,file,root/content/release/multiplayer/spectator/mp_spectatormk2.xsc,mp_spectatormk2.xsc,.xsc,26991632,3618,3618,False,False,
1897,file,root/content/release/multiplayer/playground/simple_mpplayground.xsc,simple_mpplayground.xsc,.xsc,26352408,41326,41326,False,False,
1898,file,root/content/release/multiplayer/playground/0x0688FD74,0x0688FD74,,25896064,42334,42334,False,False,
1899,file,root/content/release/multiplayer/playground/0x1DC7A26D,0x1DC7A26D,,25938400,187,187,False,False,
1900,file,root/content/release/multiplayer/playground/0x2E0A0049,0x2E0A0049,,25938592,47209,47209,False,False,
1901,file,root/content/release/multiplayer/playground/jt_mpplayground.xsc,jt_mpplayground.xsc,.xsc,26278296,43664,43664,False,False,
1902,file,root/content/release/multiplayer/playground/0x4E5DA266,0x4E5DA266,,25985808,44497,44497,False,False,
1903,file,root/content/release/multiplayer/playground/0x50C0D3DF,0x50C0D3DF,,26030312,30098,30098,False,False,
1904,file,root/content/release/multiplayer/playground/0x542D4CB8,0x542D4CB8,,26060416,32337,32337,False,False,
1905,file,root/content/release/multiplayer/playground/0x71CE3778,0x71CE3778,,26092760,38960,38960,False,False,
1906,file,root/content/release/multiplayer/playground/0x76652EA0,0x76652EA0,,26131728,59056,59056,False,False,
1907,file,root/content/release/multiplayer/playground/0xA7040157,0xA7040157,,26190792,207,207,False,False,
1908,file,root/content/release/multiplayer/playground/0xCDB7B3CC,0xCDB7B3CC,,26191000,54370,54370,False,False,
1909,file,root/content/release/multiplayer/playground/mpplayground.xsc,mpplayground.xsc,.xsc,26321968,30432,30432,False,False,
1910,file,root/content/release/multiplayer/playground/0xD8E5158A,0xD8E5158A,,26245376,246,246,False,False,
1911,file,root/content/release/multiplayer/playground/test001.xsc,test001.xsc,.xsc,26393736,268,268,False,False,
1912,file,root/content/release/multiplayer/playground/0xFE9F97DB,0xFE9F97DB,,26245624,32667,32667,False,False,
1913,file,root/content/release/multiplayer/tutorial/mp_tutorial.csc,mp_tutorial.csc,.csc,27056232,2854,2854,False,False,
1914,file,root/content/release/multiplayer/tutorial/mp_tutorial.xsc,mp_tutorial.xsc,.xsc,27059088,2804,2804,False,False,
1915,file,root/content/release/multiplayer/deathmatch/testmatch.csc,testmatch.csc,.csc,25780184,7875,7875,False,False,
1916,file,root/content/release/multiplayer/deathmatch/deathmatch.xsc,deathmatch.xsc,.xsc,25745608,34574,34574,False,False,
1917,file,root/content/release/multiplayer/deathmatch/testmatch.xsc,testmatch.xsc,.xsc,25788064,7596,7596,False,False,
