# Code RED source/decompiled export
# Source: data/codered/faction_wars_actionable_targets.csv
# SHA1: f9589931db8580f41f04991eaa17756ee6bc5941

actionable_score,score,category,path,source_kind,regions,groups,high_value_terms,size
1564,1464,world host / gringo,related_apps/CodeRED_Script_Workshop/workspace/decompiled_export/research__IMPORTANT_readable_root_index_2026-05-02__categories__strings_ui_text.csv.decompiled_source.txt,manifest/text,armadillo,factions:285|scripting:142|spawning:425|war_behavior:46|weapons_pressure:133|world_hosts:396,commongringos|gringobrain|population|vehicle_generator,280141
1408,1308,tune/template pressure,related_apps/CodeRED_Script_Workshop/workspace/decompiled_export/research__CodeRED_Cutscene_Placement_Pass15_Build__reports__content_cutscene_vehicle_entries.csv.decompiled_source.txt,manifest/text,,factions:14|scripting:727|spawning:5|war_behavior:7|weapons_pressure:33|world_hosts:506,gringobrain|vehicle_generator,57995
1407,1307,tune/template pressure,research/CodeRED_Cutscene_Placement_Pass15_Build/reports/content_cutscene_vehicle_entries.csv,repo/text,,factions:14|scripting:727|spawning:4|war_behavior:7|weapons_pressure:33|world_hosts:506,gringobrain|vehicle_generator,57527
1189,939,tune/template pressure,related_apps/CodeRED_Script_Workshop/workspace/decompiled_export/research__faction_wars__FW_TARGET_PLAN.md.decompiled_source.txt,manifest/text,armadillo|blackwater|chuparosa|escalera|fort mercer|gaptooth|henningan|landing|macfarlane|manzanita|mexico|new austin|nuevo paraiso|plainview|rathskeller|ridgewood|rio bravo|tall trees|thieves|tumbleweed,factions:64|scripting:149|spawning:284|war_behavior:11|weapons_pressure:43|world_hosts:176,ai_is_hostile|commongringos|create_actor|get_actor_faction|gringobrain|population|refgroup|set_actor_faction|streaming_request_actor|task_follow|task_kill|task_stand|task_wander|vehicle_generator,45376
1188,938,tune/template pressure,research/faction_wars/FW_TARGET_PLAN.md,repo/text,armadillo|blackwater|chuparosa|escalera|fort mercer|gaptooth|henningan|landing|macfarlane|manzanita|mexico|new austin|nuevo paraiso|plainview|rathskeller|ridgewood|rio bravo|tall trees|thieves|tumbleweed,factions:63|scripting:149|spawning:284|war_behavior:11|weapons_pressure:43|world_hosts:176,ai_is_hostile|commongringos|create_actor|get_actor_faction|gringobrain|population|refgroup|set_actor_faction|streaming_request_actor|task_follow|task_kill|task_stand|task_wander|vehicle_generator,44920
1187,1137,script/native candidate,scratch/script_workshop_pipeline/decompiled_export/related_apps__code_red_sccl_attempt_bundle_v1__code_red_script_compile_lab_v1__include__RDR__natives32.h.decompiled.txt,repo/text,tumbleweed,factions:32|scripting:184|spawning:540|war_behavior:76|weapons_pressure:87|world_hosts:133,ai_is_hostile|create_actor|get_actor_faction|population|set_actor_faction|streaming_request_actor|task_follow|task_kill|task_stand|task_wander,207717
1186,1136,script/native candidate,scratch/script_workshop_pipeline/recompile_queue/related_apps/code_red_sccl_attempt_bundle_v1/code_red_script_compile_lab_v1/include/RDR/natives32.h,repo/text,tumbleweed,factions:32|scripting:183|spawning:540|war_behavior:76|weapons_pressure:87|world_hosts:133,ai_is_hostile|create_actor|get_actor_faction|population|set_actor_faction|streaming_request_actor|task_follow|task_kill|task_stand|task_wander,207484
1186,1136,script/native candidate,scratch/script_workshop_pipeline/read_full/related_apps__code_red_sccl_attempt_bundle_v1__code_red_script_compile_lab_v1__include__RDR__natives32.h.fullread.txt,repo/text,tumbleweed,factions:32|scripting:183|spawning:540|war_behavior:76|weapons_pressure:87|world_hosts:133,ai_is_hostile|create_actor|get_actor_faction|population|set_actor_faction|streaming_request_actor|task_follow|task_kill|task_stand|task_wander,207484
1186,1136,script/native candidate,scratch/script_workshop_pipeline/import_queue/related_apps/code_red_sccl_attempt_bundle_v1/code_red_script_compile_lab_v1/include/RDR/natives32.h,repo/text,tumbleweed,factions:32|scripting:183|spawning:540|war_behavior:76|weapons_pressure:87|world_hosts:133,ai_is_hostile|create_actor|get_actor_faction|population|set_actor_faction|streaming_request_actor|task_follow|task_kill|task_stand|task_wander,207484
1186,1136,script/native candidate,scratch/script_workshop_pipeline/edit_workspace/related_apps/code_red_sccl_attempt_bundle_v1/code_red_script_compile_lab_v1/include/RDR/natives32.h,manifest/text,tumbleweed,factions:32|scripting:183|spawning:540|war_behavior:76|weapons_pressure:87|world_hosts:133,ai_is_hostile|create_actor|get_actor_faction|population|set_actor_faction|streaming_request_actor|task_follow|task_kill|task_stand|task_wander,207484
