# Code RED source/decompiled export
# Source: data/codered/faction_wars_targets.csv
# SHA1: b37f585be34a741f127b9af9c307ae0cd6b7a692

score,category,path,source_kind,regions,groups,high_value_terms,size
7020,world host / gringo,data/codered/faction_wars_targets.csv,repo/text,armadillo|blackwater|chuparosa|escalera|fort mercer|gaptooth|henningan|landing|macfarlane|manzanita|mexico|new austin|nuevo paraiso|plainview|rathskeller|ridgewood|rio bravo|tall trees|thieves|tumbleweed,factions:698|scripting:2796|spawning:1994|war_behavior:80|weapons_pressure:585|world_hosts:655,ai_is_hostile|commongringos|create_actor|get_actor_faction|gringobrain|population|refgroup|set_actor_faction|streaming_request_actor|task_follow|task_kill|task_stand|task_wander|vehicle_generator,268959
5432,world host / gringo,related_apps/CodeRED_Script_Workshop/workspace/decompiled_export/research__extracted_root_research__gringos_findings.csv.decompiled_source.txt,manifest/text,armadillo|chuparosa|gaptooth|landing,factions:60|scripting:1471|spawning:269|war_behavior:68|weapons_pressure:343|world_hosts:3169,commongringos|gringobrain|task_kill|vehicle_generator,273598
5431,world host / gringo,research/extracted_root_research/gringos_findings.csv,repo/text,armadillo|chuparosa|gaptooth|landing,factions:60|scripting:1471|spawning:269|war_behavior:68|weapons_pressure:343|world_hosts:3168,commongringos|gringobrain|task_kill|vehicle_generator,273157
5431,world host / gringo,related_apps/CodeRED_Script_Workshop/workspace/read/research__extracted_root_research__gringos_findings.csv.fullread.txt,manifest/text,armadillo|chuparosa|gaptooth|landing,factions:60|scripting:1471|spawning:269|war_behavior:68|weapons_pressure:343|world_hosts:3168,commongringos|gringobrain|task_kill|vehicle_generator,273444
5431,world host / gringo,related_apps/CodeRED_Script_Workshop/workspace/edit/research/extracted_root_research/gringos_findings.csv,manifest/text,armadillo|chuparosa|gaptooth|landing,factions:60|scripting:1471|spawning:269|war_behavior:68|weapons_pressure:343|world_hosts:3168,commongringos|gringobrain|task_kill|vehicle_generator,273157
3972,world host / gringo,related_apps/CodeRED_Script_Workshop/workspace/decompiled_export/research__IMPORTANT_readable_root_index_2026-05-02__categories__world_nav_placement.csv.decompiled_source.txt,manifest/text,armadillo|chuparosa|escalera|manzanita,factions:586|scripting:241|spawning:1923|war_behavior:160|weapons_pressure:167|world_hosts:827,commongringos|gringobrain|population|refgroup|task_follow|vehicle_generator,450568
3971,world host / gringo,research/IMPORTANT_readable_root_index_2026-05-02/categories/world_nav_placement.csv,repo/text,armadillo|chuparosa|escalera|manzanita,factions:586|scripting:241|spawning:1922|war_behavior:160|weapons_pressure:167|world_hosts:827,commongringos|gringobrain|population|refgroup|task_follow|vehicle_generator,449315
3971,world host / gringo,related_apps/CodeRED_Script_Workshop/workspace/read/research__IMPORTANT_readable_root_index_2026-05-02__categories__world_nav_placement.csv.fullread.txt,manifest/text,armadillo|chuparosa|escalera|manzanita,factions:586|scripting:241|spawning:1922|war_behavior:160|weapons_pressure:167|world_hosts:827,commongringos|gringobrain|population|refgroup|task_follow|vehicle_generator,450383
3971,world host / gringo,related_apps/CodeRED_Script_Workshop/workspace/edit/research/IMPORTANT_readable_root_index_2026-05-02/categories/world_nav_placement.csv,manifest/text,armadillo|chuparosa|escalera|manzanita,factions:586|scripting:241|spawning:1922|war_behavior:160|weapons_pressure:167|world_hosts:827,commongringos|gringobrain|population|refgroup|task_follow|vehicle_generator,449315
3830,world host / gringo,research/IMPORTANT_readable_root_index_2026-05-02/categories/cutscenes_cameras.csv,repo/text,armadillo,factions:633|scripting:564|spawning:718|war_behavior:127|weapons_pressure:302|world_hosts:1433,commongringos|gringobrain|population|refgroup|task_follow|vehicle_generator,270005
3830,world host / gringo,related_apps/CodeRED_Script_Workshop/workspace/read/research__IMPORTANT_readable_root_index_2026-05-02__categories__cutscenes_cameras.csv.fullread.txt,manifest/text,armadillo,factions:633|scripting:564|spawning:718|war_behavior:127|weapons_pressure:302|world_hosts:1433,commongringos|gringobrain|population|refgroup|task_follow|vehicle_generator,270520
3830,world host / gringo,related_apps/CodeRED_Script_Workshop/workspace/edit/research/IMPORTANT_readable_root_index_2026-05-02/categories/cutscenes_cameras.csv,manifest/text,armadillo,factions:633|scripting:564|spawning:718|war_behavior:127|weapons_pressure:302|world_hosts:1433,commongringos|gringobrain|population|refgroup|task_follow|vehicle_generator,270005
3830,world host / gringo,related_apps/CodeRED_Script_Workshop/workspace/decompiled_export/research__IMPORTANT_readable_root_index_2026-05-02__categories__cutscenes_cameras.csv.decompiled_source.txt,manifest/text,armadillo,factions:633|scripting:564|spawning:718|war_behavior:127|weapons_pressure:302|world_hosts:1433,commongringos|gringobrain|population|refgroup|task_follow|vehicle_generator,270703
3784,world host / gringo,related_apps/CodeRED_Script_Workshop/workspace/decompiled_export/research__IMPORTANT_readable_root_index_2026-05-02__categories__gringos_scripts.csv.decompiled_source.txt,manifest/text,armadillo,factions:141|scripting:1527|spawning:97|war_behavior:48|weapons_pressure:134|world_hosts:1792,commongringos|gringobrain|population|task_follow|vehicle_generator,125774
3782,world host / gringo,research/IMPORTANT_readable_root_index_2026-05-02/categories/gringos_scripts.csv,repo/text,armadillo,factions:141|scripting:1526|spawning:97|war_behavior:48|weapons_pressure:134|world_hosts:1791,commongringos|gringobrain|population|task_follow|vehicle_generator,125308
3782,world host / gringo,related_apps/CodeRED_Script_Workshop/workspace/read/research__IMPORTANT_readable_root_index_2026-05-02__categories__gringos_scripts.csv.fullread.txt,manifest/text,armadillo,factions:141|scripting:1526|spawning:97|war_behavior:48|weapons_pressure:134|world_hosts:1791,commongringos|gringobrain|population|task_follow|vehicle_generator,125593
3782,world host / gringo,related_apps/CodeRED_Script_Workshop/workspace/edit/research/IMPORTANT_readable_root_index_2026-05-02/categories/gringos_scripts.csv,manifest/text,armadillo,factions:141|scripting:1526|spawning:97|war_behavior:48|weapons_pressure:134|world_hosts:1791,commongringos|gringobrain|population|task_follow|vehicle_generator,125308
3558,world host / gringo,related_apps/CodeRED_Script_Workshop/workspace/decompiled_export/research__IMPORTANT_readable_root_index_2026-05-02__categories__vehicle_spawning.csv.decompiled_source.txt,manifest/text,armadillo|tumbleweed,factions:642|scripting:328|spawning:799|war_behavior:173|weapons_pressure:209|world_hosts:1349,commongringos|gringobrain|population|refgroup|task_follow|vehicle_generator,214558
3557,world host / gringo,research/IMPORTANT_readable_root_index_2026-05-02/categories/vehicle_spawning.csv,repo/text,armadillo|tumbleweed,factions:642|scripting:328|spawning:798|war_behavior:173|weapons_pressure:209|world_hosts:1349,commongringos|gringobrain|population|refgroup|task_follow|vehicle_generator,213965
3557,world host / gringo,related_apps/CodeRED_Script_Workshop/workspace/read/research__IMPORTANT_readable_root_index_2026-05-02__categories__vehicle_spawning.csv.fullread.txt,manifest/text,armadillo|tumbleweed,factions:642|scripting:328|spawning:798|war_behavior:173|weapons_pressure:209|world_hosts:1349,commongringos|gringobrain|population|refgroup|task_follow|vehicle_generator,214376
3557,world host / gringo,related_apps/CodeRED_Script_Workshop/workspace/edit/research/IMPORTANT_readable_root_index_2026-05-02/categories/vehicle_spawning.csv,manifest/text,armadillo|tumbleweed,factions:642|scripting:328|spawning:798|war_behavior:173|weapons_pressure:209|world_hosts:1349,commongringos|gringobrain|population|refgroup|task_follow|vehicle_generator,213965
3148,script/native candidate,scratch/script_workshop_pipeline/recompile_queue/research/menu resources/natives.h,repo/text,armadillo|blackwater|tumbleweed,factions:118|scripting:276|spawning:1879|war_behavior:127|weapons_pressure:314|world_hosts:339,ai_is_hostile|create_actor|get_actor_faction|population|set_actor_faction|streaming_request_actor|task_follow|task_kill|task_stand|task_wander,430916
3148,research/reference,scratch/script_workshop_pipeline/read_full/research__menu_resources__natives.h.fullread.txt,repo/text,armadillo|blackwater|tumbleweed,factions:118|scripting:276|spawning:1879|war_behavior:127|weapons_pressure:314|world_hosts:339,ai_is_hostile|create_actor|get_actor_faction|population|set_actor_faction|streaming_request_actor|task_follow|task_kill|task_stand|task_wander,430916
