index,path,raw_size,rsc,resource_type,codec,decoded_size,decode_error,score,reasons
525,root\content\release64\dlc\0x22398628\0x93896EB6\0x34DC08E0\0xDFF8A0AE,13535,False,,,,,160,u16be:1194:1
526,root\content\release64\dlc\0x22398628\0x93896EB6\blackwater\0x11D6AB37,19887,True,2,zstd,53248,,380,u16be:1194:1
527,root\content\release64\dlc\0x22398628\0x93896EB6\blackwater\0x200069EC,20022,True,2,zstd,53248,,314,
528,root\content\release64\dlc\0x22398628\0x93896EB6\blackwater\0x3F0C3F35,20710,False,,,,,117,
529,root\content\release64\dlc\0x22398628\0x93896EB6\blackwater\0x54FCA7DE,22208,False,,,,,243,u16be:1194:1;u16le:1193:1
530,root\content\release64\dlc\0x22398628\0x93896EB6\blackwater\0x6BC0ADF4,20885,False,,,,,193,u16le:1193:1
531,root\content\release64\dlc\0x22398628\0x93896EB6\blackwater\0x74730566,20628,False,,,,,313,u16be:1194:1;u16le:1193:1;u16le:1194:1
532,root\content\release64\dlc\0x22398628\0x93896EB6\blackwater\0x7B06746D,21209,True,2,zstd,53248,,376,
533,root\content\release64\dlc\0x22398628\0x93896EB6\blackwater\0xABBA0E70,19695,True,2,zstd,53248,,369,
534,root\content\release64\dlc\0x22398628\0x93896EB6\0x444FC437\0x4A6FD091,20675,False,,,,,151,u16le:1193:1
535,root\content\release64\dlc\0x22398628\0x93896EB6\0x444FC437\0x83FFB304,20469,False,,,,,244,u16be:1193:1;u16be:1194:1
536,root\content\release64\dlc\0x22398628\0x93896EB6\0x444FC437\0xA4AF4541,19611,True,2,zstd,53248,,346,
537,root\content\release64\dlc\0x22398628\0x93896EB6\0x444FC437\0xD06C581C,19804,True,2,zstd,53248,,363,
538,root\content\release64\dlc\0x22398628\0x93896EB6\0x4E0B11BA\0x5DC27457,19020,False,,,,,159,u16be:1194:1
539,root\content\release64\dlc\0x22398628\0x93896EB6\0x4E0B11BA\0x6DC68066,19009,True,2,zstd,45056,,345,
540,root\content\release64\dlc\0x22398628\0x93896EB6\0x4E0B11BA\0x9E99DE0B,22171,False,,,,,106,
541,root\content\release64\dlc\0x22398628\0x93896EB6\0x4E0B11BA\0xBA99F55F,21320,True,2,zstd,53248,,422,
542,root\content\release64\dlc\0x22398628\0x93896EB6\0x4E0B11BA\0xD60CD696,19777,False,,,,,178,u16le:1193:1
543,root\content\release64\dlc\0x22398628\0x93896EB6\0x4E0B11BA\0xD708C2DC,18300,True,2,zstd,45056,,339,
544,root\content\release64\dlc\0x22398628\0x93896EB6\0x51689FCA\0x157A269D,19633,False,,,,,141,u16le:1194:1
545,root\content\release64\dlc\0x22398628\0x93896EB6\0x51689FCA\0xC1E0506E,20479,False,,,,,69,
546,root\content\release64\dlc\0x22398628\0x93896EB6\0x51689FCA\0xF1AADBCE,18838,True,2,zstd,45056,,334,
547,root\content\release64\dlc\0x22398628\0x93896EB6\0x51689FCA\0xF9858227,19668,True,2,zstd,53248,,310,
548,root\content\release64\dlc\0x22398628\0x93896EB6\0x6766FCAB\0x3DEEDFF4,21902,True,2,zstd,53248,,299,
549,root\content\release64\dlc\0x22398628\0x93896EB6\0x6766FCAB\0x6EE0E737,22843,False,,,,,119,
550,root\content\release64\dlc\0x22398628\0x93896EB6\0x6766FCAB\0xB6C52F0B,20614,False,,,,,179,u16le:1194:2
551,root\content\release64\dlc\0x22398628\0x93896EB6\0x6766FCAB\0xB6D08236,19782,True,2,zstd,53248,,356,
552,root\content\release64\dlc\0x22398628\0x93896EB6\missing\0x0BED5511,19311,False,,,,,126,u16le:1194:1
553,root\content\release64\dlc\0x22398628\0x93896EB6\missing\0x6821D95A,26481,False,,,,,194,u16be:1194:2
554,root\content\release64\dlc\0x22398628\0x93896EB6\missing\0xBFECA404,18544,True,2,zstd,45056,,339,
555,root\content\release64\dlc\0x22398628\0x93896EB6\missing\0xCB28C4E8,25272,True,2,zstd,65536,,405,
556,root\content\release64\dlc\0x22398628\0x93896EB6\missing\0xD5964A47,20994,False,,,,,191,u16le:1194:1
557,root\content\release64\dlc\0x22398628\0x93896EB6\missing\0xE97C5B63,20061,True,2,zstd,53248,,376,
558,root\content\release64\dlc\0x22398628\0x93896EB6\0x9C250044\0x1CA34AAC,12938,True,2,zstd,36864,,266,
559,root\content\release64\dlc\0x22398628\0x93896EB6\0x9C250044\0x1DC57A2D,20112,True,2,zstd,53248,,477,u16be:1194:3;hash:ENABLE_VEHICLE_SEAT;hash:ENABLE_VEHICLE_SEAT
560,root\content\release64\dlc\0x22398628\0x93896EB6\0x9C250044\0x748F998F,20769,True,2,zstd,53248,,451,hash:ENABLE_VEHICLE_SEAT;hash:ENABLE_VEHICLE_SEAT
