index,path,name,size,resource_type,resource_type_hint,score,reasons,decoded_size,decode_error
1441,root\content\release64\0xC06BF8AB\0x18DF302B\0xE4004F64\0x19AA0C4D,0x19AA0C4D,24244,2,.wsc/.csc script,602,u16be:1193:4;u16be:1194:5;hash:ENABLE_VEHICLE_SEAT;hash:ENABLE_VEHICLE_SEAT,61440,
1445,root\content\release64\0xC06BF8AB\0x43DCBEC5\0x12158455,0x12158455,24244,2,.wsc/.csc script,602,u16be:1193:4;u16be:1194:5;hash:ENABLE_VEHICLE_SEAT;hash:ENABLE_VEHICLE_SEAT,61440,
1447,root\content\release64\0xC06BF8AB\0x43DCBEC5\0x38D05D89,0x38D05D89,24244,2,.wsc/.csc script,602,u16be:1193:4;u16be:1194:5;hash:ENABLE_VEHICLE_SEAT;hash:ENABLE_VEHICLE_SEAT,61440,
1452,root\content\release64\0xC06BF8AB\0x43DCBEC5\0xAEAB402E,0xAEAB402E,24244,2,.wsc/.csc script,602,u16be:1193:4;u16be:1194:5;hash:ENABLE_VEHICLE_SEAT;hash:ENABLE_VEHICLE_SEAT,61440,
1456,root\content\release64\0xC06BF8AB\0x43DCBEC5\0xD895C5AE,0xD895C5AE,24244,2,.wsc/.csc script,602,u16be:1193:4;u16be:1194:5;hash:ENABLE_VEHICLE_SEAT;hash:ENABLE_VEHICLE_SEAT,61440,
1462,root\content\release64\0xC06BF8AB\0x4555D910\0x2344331D,0x2344331D,24244,2,.wsc/.csc script,602,u16be:1193:4;u16be:1194:5;hash:ENABLE_VEHICLE_SEAT;hash:ENABLE_VEHICLE_SEAT,61440,
1463,root\content\release64\0xC06BF8AB\0x4555D910\0x25A69CDC,0x25A69CDC,24244,2,.wsc/.csc script,602,u16be:1193:4;u16be:1194:5;hash:ENABLE_VEHICLE_SEAT;hash:ENABLE_VEHICLE_SEAT,61440,
1465,root\content\release64\0xC06BF8AB\0x4555D910\0x29E9E82E,0x29E9E82E,24244,2,.wsc/.csc script,602,u16be:1193:4;u16be:1194:5;hash:ENABLE_VEHICLE_SEAT;hash:ENABLE_VEHICLE_SEAT,61440,
1466,root\content\release64\0xC06BF8AB\0x4555D910\0x391A87FD,0x391A87FD,24244,2,.wsc/.csc script,602,u16be:1193:4;u16be:1194:5;hash:ENABLE_VEHICLE_SEAT;hash:ENABLE_VEHICLE_SEAT,61440,
1469,root\content\release64\0xC06BF8AB\0x4555D910\0x54610E64,0x54610E64,24244,2,.wsc/.csc script,602,u16be:1193:4;u16be:1194:5;hash:ENABLE_VEHICLE_SEAT;hash:ENABLE_VEHICLE_SEAT,61440,
1470,root\content\release64\0xC06BF8AB\0x4555D910\0x663A1954,0x663A1954,24244,2,.wsc/.csc script,602,u16be:1193:4;u16be:1194:5;hash:ENABLE_VEHICLE_SEAT;hash:ENABLE_VEHICLE_SEAT,61440,
