offset,offset_hex,opcode,width,value,actor_kind,operand_hex
49933,0xC30D,37,1,30,eActorEnum_candidate,1E
49961,0xC329,37,1,18,eActorEnum_candidate,12
49969,0xC331,37,1,30,eActorEnum_candidate,1E
50019,0xC363,37,1,30,eActorEnum_candidate,1E
50083,0xC3A3,37,1,30,eActorEnum_candidate,1E
50124,0xC3CC,37,1,18,eActorEnum_candidate,12
50132,0xC3D4,37,1,30,eActorEnum_candidate,1E
50164,0xC3F4,37,1,18,eActorEnum_candidate,12
50172,0xC3FC,37,1,30,eActorEnum_candidate,1E
50232,0xC438,37,1,18,eActorEnum_candidate,12
50240,0xC440,37,1,30,eActorEnum_candidate,1E
50267,0xC45B,37,1,18,eActorEnum_candidate,12
50275,0xC463,37,1,30,eActorEnum_candidate,1E
50317,0xC48D,37,1,18,eActorEnum_candidate,12
50325,0xC495,37,1,30,eActorEnum_candidate,1E
50353,0xC4B1,37,1,18,eActorEnum_candidate,12
50361,0xC4B9,37,1,30,eActorEnum_candidate,1E
50389,0xC4D5,37,1,18,eActorEnum_candidate,12
50397,0xC4DD,37,1,30,eActorEnum_candidate,1E
50439,0xC507,37,1,18,eActorEnum_candidate,12
50447,0xC50F,37,1,30,eActorEnum_candidate,1E
50475,0xC52B,37,1,18,eActorEnum_candidate,12
50483,0xC533,37,1,30,eActorEnum_candidate,1E
50511,0xC54F,37,1,18,eActorEnum_candidate,12
50519,0xC557,37,1,30,eActorEnum_candidate,1E
50560,0xC580,37,1,18,eActorEnum_candidate,12
50568,0xC588,37,1,30,eActorEnum_candidate,1E
50596,0xC5A4,37,1,18,eActorEnum_candidate,12
50604,0xC5AC,37,1,30,eActorEnum_candidate,1E
50646,0xC5D6,37,1,18,eActorEnum_candidate,12
50654,0xC5DE,37,1,30,eActorEnum_candidate,1E
50682,0xC5FA,37,1,18,eActorEnum_candidate,12
50690,0xC602,37,1,30,eActorEnum_candidate,1E
50718,0xC61E,37,1,18,eActorEnum_candidate,12
50726,0xC626,37,1,30,eActorEnum_candidate,1E
50754,0xC642,37,1,18,eActorEnum_candidate,12
50762,0xC64A,37,1,30,eActorEnum_candidate,1E
50790,0xC666,37,1,18,eActorEnum_candidate,12
50798,0xC66E,37,1,30,eActorEnum_candidate,1E
50826,0xC68A,37,1,18,eActorEnum_candidate,12
50834,0xC692,37,1,30,eActorEnum_candidate,1E
50862,0xC6AE,37,1,18,eActorEnum_candidate,12
50870,0xC6B6,37,1,30,eActorEnum_candidate,1E
50898,0xC6D2,37,1,18,eActorEnum_candidate,12
50906,0xC6DA,37,1,30,eActorEnum_candidate,1E
50934,0xC6F6,37,1,18,eActorEnum_candidate,12
50942,0xC6FE,37,1,30,eActorEnum_candidate,1E
50970,0xC71A,37,1,18,eActorEnum_candidate,12
50978,0xC722,37,1,30,eActorEnum_candidate,1E
51019,0xC74B,37,1,18,eActorEnum_candidate,12
51027,0xC753,37,1,30,eActorEnum_candidate,1E
51068,0xC77C,37,1,18,eActorEnum_candidate,12
51076,0xC784,37,1,30,eActorEnum_candidate,1E
51131,0xC7BB,37,1,18,eActorEnum_candidate,12
