offset,offset_hex,length,text,population_term,string_class
77299,0x12DF3,6,SF7%[7,,debug/display text
77307,0x12DFB,4,S4d9,,unknown
77336,0x12E18,8,",C&,C')>",,unknown
77349,0x12E25,5,":9=,5",,unknown
77385,0x12E49,7,",C&,C(,",,unknown
77409,0x12E61,4,",C)c",,unknown
77473,0x12EA1,4,SF7b,,unknown
77494,0x12EB6,4,"A%),",,debug/display text
77514,0x12ECA,5,AM_ER,,unknown
77525,0x12ED5,4,SF7%,,debug/display text
77535,0x12EDF,4,S6J%,,debug/display text
77568,0x12F00,25,SaveGame_DoNotInterruptMe,,unknown
77610,0x12F2A,14,AM_ER_RW1_help,,unknown
77643,0x12F4B,15,AM_ER_RW1_helpz,,unknown
77683,0x12F73,4,S6Jb,,unknown
77722,0x12F9A,93,do[AM_COLLECT_PLAYER_EVENTS_OF_TYPE_ON_ACTORENUM: invalid objectset passed as EventCollection,,likely logic anchor
77881,0x13039,7,",C&,C-8",,unknown
77895,0x13047,7,",C&,C.7",,unknown
77931,0x1306B,4,",C/c",,unknown
77940,0x13074,7,",C&,C(7",,unknown
77967,0x1308F,4,",C07",,unknown
77982,0x1309E,5,",C1+7",,unknown
77995,0x130AB,5,",C1+7",,unknown
78003,0x130B3,4,",E2c",,unknown
78014,0x130BE,11,AM_NO_PURGE,,unknown
78037,0x130D5,11,AM_NO_PURGE,,unknown
78051,0x130E3,6,E9-8-=,,unknown
78071,0x130F7,11,AM_NO_PURGE,,unknown
78125,0x1312D,4,",C 7",,debug/display text
78147,0x13143,4,S217,,unknown
78417,0x13251,6,Zombie,,unknown
78435,0x13263,6,Zombie,,unknown
78453,0x13275,5,:9> 8,,debug/display text
78466,0x13282,12,AM_ER_1_info,,unknown
78492,0x1329C,6,AM_num,,unknown
78523,0x132BB,8,",D4:9> 7",,debug/display text
78535,0x132C7,7,",J5:9> ",,debug/display text
78569,0x132E9,5,honor,,unknown
78586,0x132FA,5,honor,,unknown
78838,0x133F6,9,AM_Weapon,,unknown
78859,0x1340B,9,AM_Weapon,,unknown
