string_offset,string_offset_hex,string_text,string_class,reference_instruction_offset,reference_instruction_offset_hex,owner_function_index,owner_function,owner_function_offset_range
55438,0xD88E,blk_barge01Props01x,unknown,55436,0xD88C,226,Function_226,0xBCEF..0xF16F
55463,0xD8A7,blk_barge01x,unknown,55461,0xD8A5,226,Function_226,0xBCEF..0xF16F
55481,0xD8B9,blk_theatre_int_Props01x,unknown,55479,0xD8B7,226,Function_226,0xBCEF..0xF16F
55511,0xD8D7,blk_theatre_int_01x,unknown,55509,0xD8D5,226,Function_226,0xBCEF..0xF16F
55536,0xD8F0,blk_bank01_int_Props02x,unknown,55534,0xD8EE,226,Function_226,0xBCEF..0xF16F
55565,0xD90D,blk_bank_int_02x,unknown,55563,0xD90B,226,Function_226,0xBCEF..0xF16F
55587,0xD923,blk_bank_int_shade_02x,unknown,55585,0xD921,226,Function_226,0xBCEF..0xF16F
55615,0xD93F,blk_cityHall01_int_Props01x,unknown,55613,0xD93D,226,Function_226,0xBCEF..0xF16F
55648,0xD960,blk_cityHall_int_01x,unknown,55646,0xD95E,226,Function_226,0xBCEF..0xF16F
55674,0xD97A,blk_policeStation01_int_props02x,unknown,55672,0xD978,226,Function_226,0xBCEF..0xF16F
55712,0xD9A0,blk_policeStation_int_02x,unknown,55710,0xD99E,226,Function_226,0xBCEF..0xF16F
55743,0xD9BF,blk_policeStation01_int_props01x,unknown,55741,0xD9BD,226,Function_226,0xBCEF..0xF16F
55781,0xD9E5,blk_policeStation_int_01x,unknown,55779,0xD9E3,226,Function_226,0xBCEF..0xF16F
55812,0xDA04,blk_policeStation_int_shades01x,unknown,55810,0xDA02,226,Function_226,0xBCEF..0xF16F
55849,0xDA29,blk_blacksmith_int_Props01x,unknown,55847,0xDA27,226,Function_226,0xBCEF..0xF16F
55882,0xDA4A,blk_blacksmith_int_01x,unknown,55880,0xDA48,226,Function_226,0xBCEF..0xF16F
55910,0xDA66,blk_church_int_Props01x,unknown,55908,0xDA64,226,Function_226,0xBCEF..0xF16F
55939,0xDA83,blk_church_int_01x,unknown,55937,0xDA81,226,Function_226,0xBCEF..0xF16F
55963,0xDA9B,blk_doctorsOffice_int_Props01x,unknown,55961,0xDA99,226,Function_226,0xBCEF..0xF16F
55999,0xDABF,blk_doctorsOffice_int_01x,unknown,55997,0xDABD,226,Function_226,0xBCEF..0xF16F
56030,0xDADE,blk_freightstation01_int_Props01x,unknown,56028,0xDADC,226,Function_226,0xBCEF..0xF16F
56069,0xDB05,blk_freightstation_int_01x,unknown,56067,0xDB03,226,Function_226,0xBCEF..0xF16F
56101,0xDB25,blk_generalStore_int_Props01x,unknown,56099,0xDB23,226,Function_226,0xBCEF..0xF16F
