index,type,path,name,extension,offset,size_in_archive,total_size,is_resource,is_compressed,resource_type
474,file,root/content/release64/dlc/zombiepack/init/pop/hen_population_z.sco,hen_population_z.sco,.sco,17027240,2196,2196,False,False,
475,file,root/content/release64/dlc/zombiepack/init/pop/dzc_population_z.sco,dzc_population_z.sco,.sco,17010656,2464,2464,False,False,
476,file,root/content/release64/dlc/zombiepack/init/pop/emt_population_z.wsc,emt_population_z.wsc,.wsc,3471360,1733,12288,True,False,2
477,file,root/content/release64/dlc/zombiepack/init/pop/coo_population_z.wsc,coo_population_z.wsc,.wsc,3463168,2087,12288,True,False,2
478,file,root/content/release64/dlc/zombiepack/init/pop/rwf_population_z.wsc,rwf_population_z.wsc,.wsc,3524608,1936,12288,True,False,2
479,file,root/content/release64/dlc/zombiepack/init/pop/nos_population_z.wsc,nos_population_z.wsc,.wsc,3502080,1640,8192,True,False,2
480,file,root/content/release64/dlc/zombiepack/init/pop/grt_population_z.sco,grt_population_z.sco,.sco,17022312,2462,2462,False,False,
481,file,root/content/release64/dlc/zombiepack/init/pop/thi_population_z.sco,thi_population_z.sco,.sco,17065216,2301,2301,False,False,
482,file,root/content/release64/dlc/zombiepack/init/pop/odd_population_z.sco,odd_population_z.sco,.sco,17037376,2038,2038,False,False,
483,file,root/content/release64/dlc/zombiepack/init/pop/nos_population_z.sco,nos_population_z.sco,.sco,17035664,1704,1704,False,False,
484,file,root/content/release64/dlc/zombiepack/init/pop/tum_population_z.sco,tum_population_z.sco,.sco,17069248,2114,2114,False,False,
485,file,root/content/release64/dlc/zombiepack/init/pop/tal_population_z.wsc,tal_population_z.wsc,.wsc,3532800,2275,12288,True,False,2
486,file,root/content/release64/dlc/zombiepack/init/pop/rio_population_z.sco,rio_population_z.sco,.sco,17050648,2443,2443,False,False,
487,file,root/content/release64/dlc/zombiepack/init/pop/pln_population_z.sco,pln_population_z.sco,.sco,17041144,2025,2025,False,False,
488,file,root/content/release64/dlc/zombiepack/init/pop/upr_population_z.sco,upr_population_z.sco,.sco,17073256,1825,1825,False,False,
489,file,root/content/release64/dlc/zombiepack/init/pop/sol_population_z.wsc,sol_population_z.wsc,.wsc,3530752,1695,8192,True,False,2
490,file,root/content/release64/dlc/zombiepack/init/pop/tal_population_z.sco,tal_population_z.sco,.sco,17060896,2426,2426,False,False,
491,file,root/content/release64/dlc/zombiepack/init/pop/coc_population_z.sco,coc_population_z.sco,.sco,17006816,1636,1636,False,False,
492,file,root/content/release64/dlc/zombiepack/init/pop/cho_population_z.wsc,cho_population_z.wsc,.wsc,3454976,2642,12288,True,False,2
493,file,root/content/release64/dlc/zombiepack/init/pop/twr_population_z.wsc,twr_population_z.wsc,.wsc,3547136,1805,8192,True,False,2
494,file,root/content/release64/dlc/zombiepack/init/pop/tor_population_z.wsc,tor_population_z.wsc,.wsc,3543040,1660,8192,True,False,2
495,file,root/content/release64/dlc/zombiepack/init/pop/rwf_population_z.sco,rwf_population_z.sco,.sco,17053096,2013,2013,False,False,
496,file,root/content/release64/dlc/zombiepack/init/pop/rat_population_z.sco,rat_population_z.sco,.sco,17048528,2119,2119,False,False,
497,file,root/content/release64/dlc/zombiepack/init/pop/cas_population_z.sco,cas_population_z.sco,.sco,17000272,1741,1741,False,False,
498,file,root/content/release64/dlc/zombiepack/init/pop/gap_population_z.sco,gap_population_z.sco,.sco,17020496,1810,1810,False,False,
499,file,root/content/release64/dlc/zombiepack/init/pop/pik_population_z.wsc,pik_population_z.wsc,.wsc,3506176,1666,4096,True,False,2
500,file,root/content/release64/dlc/zombiepack/init/pop/dzc_population_z.wsc,dzc_population_z.wsc,.wsc,3467264,2332,12288,True,False,2
501,file,root/content/release64/dlc/zombiepack/init/pop/arm_population_z.sco,arm_population_z.sco,.sco,16992192,2328,2328,False,False,
502,file,root/content/release64/dlc/zombiepack/init/pop/prd_population_z.sco,prd_population_z.sco,.sco,17043176,2678,2678,False,False,
503,file,root/content/release64/dlc/zombiepack/init/pop/blk_population_z.sco,blk_population_z.sco,.sco,16998192,2078,2078,False,False,
504,file,root/content/release64/dlc/zombiepack/init/pop/agv_population_z.wsc,agv_population_z.wsc,.wsc,3440640,1867,12288,True,False,2
505,file,root/content/release64/dlc/zombiepack/init/pop/gap_population_z.wsc,gap_population_z.wsc,.wsc,3479552,1737,12288,True,False,2
506,file,root/content/release64/dlc/zombiepack/init/pop/beh_population_z.wsc,beh_population_z.wsc,.wsc,3446784,1844,12288,True,False,2
507,file,root/content/release64/dlc/zombiepack/init/pop/gtr_population_z.sco,gtr_population_z.sco,.sco,17024776,2460,2460,False,False,
508,file,root/content/release64/dlc/zombiepack/init/pop/esc_population_z.sco,esc_population_z.sco,.sco,17014928,1969,1969,False,False,
509,file,root/content/release64/dlc/zombiepack/init/pop/pun_population_z.sco,pun_population_z.sco,.sco,17045856,2664,2664,False,False,
510,file,root/content/release64/dlc/zombiepack/init/pop/sep_population_z.wsc,sep_population_z.wsc,.wsc,3526656,1944,12288,True,False,2
511,file,root/content/release64/dlc/zombiepack/init/pop/hen_population_z.wsc,hen_population_z.wsc,.wsc,3489792,2097,12288,True,False,2
512,file,root/content/release64/dlc/zombiepack/init/pop/beh_population_z.sco,beh_population_z.sco,.sco,16994528,1930,1930,False,False,
513,file,root/content/release64/dlc/zombiepack/init/pop/lsh_population_z.sco,lsh_population_z.sco,.sco,17032144,1756,1756,False,False,
514,file,root/content/release64/dlc/zombiepack/init/pop/fod_population_z.sco,fod_population_z.sco,.sco,17016904,1777,1777,False,False,
515,file,root/content/release64/dlc/zombiepack/init/pop/ben_population_z.sco,ben_population_z.sco,.sco,16996464,1724,1724,False,False,
516,file,root/content/release64/dlc/zombiepack/init/pop/coc_population_z.wsc,coc_population_z.wsc,.wsc,3461120,1590,4096,True,False,2
517,file,root/content/release64/dlc/zombiepack/init/pop/tum_population_z.wsc,tum_population_z.wsc,.wsc,3545088,2029,12288,True,False,2
518,file,root/content/release64/dlc/zombiepack/init/pop/sol_population_z.sco,sol_population_z.sco,.sco,17059144,1751,1751,False,False,
519,file,root/content/release64/dlc/zombiepack/init/pop/esc_population_z.wsc,esc_population_z.wsc,.wsc,3473408,1883,12288,True,False,2
520,file,root/content/release64/dlc/zombiepack/init/pop/ser_population_z.sco,ser_population_z.sco,.sco,17057136,2000,2000,False,False,
521,file,root/content/release64/dlc/zombiepack/init/pop/rio_population_z.wsc,rio_population_z.wsc,.wsc,3520512,2330,12288,True,False,2
522,file,root/content/release64/dlc/zombiepack/init/pop/ben_population_z.wsc,ben_population_z.wsc,.wsc,3448832,1656,4096,True,False,2
523,file,root/content/release64/dlc/zombiepack/init/pop/hgn_population_z.wsc,hgn_population_z.wsc,.wsc,3493888,2515,12288,True,False,2
524,file,root/content/release64/dlc/zombiepack/init/pop/tes_population_z.wsc,tes_population_z.wsc,.wsc,3536896,1794,8192,True,False,2
525,file,root/content/release64/dlc/zombiepack/init/pop/thi_population_z.wsc,thi_population_z.wsc,.wsc,3538944,2198,12288,True,False,2
526,dir,root/content/release64/dlc/zombiepack/mexico/perdido,perdido,,,,,,,
527,dir,root/content/release64/dlc/zombiepack/mexico/diez_coronas,diez_coronas,,,,,,,
528,dir,root/content/release64/dlc/zombiepack/mexico/punta_orgullo,punta_orgullo,,,,,,,
529,file,root/content/release64/dlc/zombiepack/mexico/diez_coronas/diezcoronas_z.sco,diezcoronas_z.sco,.sco,17075088,17416,17416,False,False,
530,dir,root/content/release64/dlc/zombiepack/mexico/diez_coronas/el_matadero_town,el_matadero_town,,,,,,,
531,dir,root/content/release64/dlc/zombiepack/mexico/diez_coronas/casa_madrugada,casa_madrugada,,,,,,,
532,file,root/content/release64/dlc/zombiepack/mexico/diez_coronas/diezcoronas_z.wsc,diezcoronas_z.wsc,.wsc,3551232,16099,53248,True,False,2
533,dir,root/content/release64/dlc/zombiepack/mexico/diez_coronas/el_presidio,el_presidio,,,,,,,
534,dir,root/content/release64/dlc/zombiepack/mexico/diez_coronas/torquemada,torquemada,,,,,,,
535,file,root/content/release64/dlc/zombiepack/mexico/diez_coronas/casa_madrugada/casamadrugada_z.wsc,casamadrugada_z.wsc,.wsc,3567616,29863,77824,True,False,2
536,file,root/content/release64/dlc/zombiepack/mexico/diez_coronas/casa_madrugada/casamadrugada_z.sco,casamadrugada_z.sco,.sco,17092512,31998,31998,False,False,
537,file,root/content/release64/dlc/zombiepack/mexico/diez_coronas/el_matadero_town/elmataderotown_z.sco,elmataderotown_z.sco,.sco,17124512,31542,31542,False,False,
538,file,root/content/release64/dlc/zombiepack/mexico/diez_coronas/el_matadero_town/elmataderotown_z.wsc,elmataderotown_z.wsc,.wsc,3598336,29532,77824,True,False,2
539,file,root/content/release64/dlc/zombiepack/mexico/diez_coronas/el_presidio/elpresidio_z.sco,elpresidio_z.sco,.sco,17156056,37408,37408,False,False,
540,file,root/content/release64/dlc/zombiepack/mexico/diez_coronas/el_presidio/elpresidio_z.wsc,elpresidio_z.wsc,.wsc,3629056,34577,102400,True,False,2
541,file,root/content/release64/dlc/zombiepack/mexico/diez_coronas/torquemada/torquemada_z.wsc,torquemada_z.wsc,.wsc,3663872,29549,77824,True,False,2
542,file,root/content/release64/dlc/zombiepack/mexico/diez_coronas/torquemada/torquemada_z.sco,torquemada_z.sco,.sco,17193472,31616,31616,False,False,
543,dir,root/content/release64/dlc/zombiepack/mexico/perdido/agave_viejo,agave_viejo,,,,,,,
544,dir,root/content/release64/dlc/zombiepack/mexico/perdido/las_hermanas,las_hermanas,,,,,,,
545,dir,root/content/release64/dlc/zombiepack/mexico/perdido/chuparosa,chuparosa,,,,,,,
546,dir,root/content/release64/dlc/zombiepack/mexico/perdido/sepulcro,sepulcro,,,,,,,
547,file,root/content/release64/dlc/zombiepack/mexico/perdido/perdido_z.wsc,perdido_z.wsc,.wsc,3694592,18627,69632,True,False,2
548,file,root/content/release64/dlc/zombiepack/mexico/perdido/perdido_z.sco,perdido_z.sco,.sco,17225096,20349,20349,False,False,
549,file,root/content/release64/dlc/zombiepack/mexico/perdido/agave_viejo/agaveviejo_z.wsc,agaveviejo_z.wsc,.wsc,3715072,28182,69632,True,False,2
550,file,root/content/release64/dlc/zombiepack/mexico/perdido/agave_viejo/agaveviejo_z.sco,agaveviejo_z.sco,.sco,17245448,30040,30040,False,False,
551,file,root/content/release64/dlc/zombiepack/mexico/perdido/chuparosa/chuparosa_z.wsc,chuparosa_z.wsc,.wsc,3743744,34240,94208,True,False,2
552,file,root/content/release64/dlc/zombiepack/mexico/perdido/chuparosa/chuparosa_z.sco,chuparosa_z.sco,.sco,17275496,37033,37033,False,False,
553,file,root/content/release64/dlc/zombiepack/mexico/perdido/las_hermanas/lashermanas_z.sco,lashermanas_z.sco,.sco,17312536,33011,33011,False,False,
554,file,root/content/release64/dlc/zombiepack/mexico/perdido/las_hermanas/lashermanas_z.wsc,lashermanas_z.wsc,.wsc,3778560,30823,86016,True,False,2
555,file,root/content/release64/dlc/zombiepack/mexico/perdido/sepulcro/sepulcro_z.wsc,sepulcro_z.wsc,.wsc,3811328,39046,102400,True,False,2
556,file,root/content/release64/dlc/zombiepack/mexico/perdido/sepulcro/sepulcro_z.sco,sepulcro_z.sco,.sco,17345552,42185,42185,False,False,
557,dir,root/content/release64/dlc/zombiepack/mexico/punta_orgullo/tesoro_azul,tesoro_azul,,,,,,,
558,file,root/content/release64/dlc/zombiepack/mexico/punta_orgullo/puntaorgullo_z.sco,puntaorgullo_z.sco,.sco,17387744,17416,17416,False,False,
559,file,root/content/release64/dlc/zombiepack/mexico/punta_orgullo/puntaorgullo_z.wsc,puntaorgullo_z.wsc,.wsc,3852288,16147,53248,True,False,2
560,dir,root/content/release64/dlc/zombiepack/mexico/punta_orgullo/nosalida,nosalida,,,,,,,
561,dir,root/content/release64/dlc/zombiepack/mexico/punta_orgullo/escalera,escalera,,,,,,,
562,file,root/content/release64/dlc/zombiepack/mexico/punta_orgullo/escalera/escalera_z.wsc,escalera_z.wsc,.wsc,3868672,33146,94208,True,False,2
563,file,root/content/release64/dlc/zombiepack/mexico/punta_orgullo/escalera/escalera_z.sco,escalera_z.sco,.sco,17405168,35666,35666,False,False,
564,file,root/content/release64/dlc/zombiepack/mexico/punta_orgullo/nosalida/nosalida_z.wsc,nosalida_z.wsc,.wsc,3903488,27219,69632,True,False,2
565,file,root/content/release64/dlc/zombiepack/mexico/punta_orgullo/nosalida/nosalida_z.sco,nosalida_z.sco,.sco,17440840,28963,28963,False,False,
566,file,root/content/release64/dlc/zombiepack/mexico/punta_orgullo/tesoro_azul/tesoroazul_z.sco,tesoroazul_z.sco,.sco,17469808,28956,28956,False,False,
