term,offset,offset_hex,context_ascii,context_hex
props01x,49569,0xC1A1,"fence03x.,..o.coc_fence03bx.,..o.fom_corralBreakProps01x.,..o.gap_caveBlockades01x.,..o.blk_saloon_int_P",66 65 6E 63 65 30 33 78 00 2C 02 F8 6F 0E 63 6F 63 5F 66 65 6E 63 65 30 33 62 78 00 2C 02 F9 6F 18 66 6F 6D 5F 63 6F 72 72 61 6C 42 72 65 61 6B 50 72 6F 70 73 30 31 78 00 2C 02 F8 6F 15 67 61 70 5F 63 61 76 65 42 6C 6F 63 6B 61 64 65 73 30 31 78 00 2C 02 F8 6F 18 62 6C 6B 5F 73 61 6C 6F 6F 6E 5F 69 6E 74 5F 50
props01x,49624,0xC1D8,"x.,..o.gap_caveBlockades01x.,..o.blk_saloon_int_Props01x.,..o.blk_saloon_int_01x.,..o.thi_gates01x.,..o.",78 00 2C 02 F8 6F 15 67 61 70 5F 63 61 76 65 42 6C 6F 63 6B 61 64 65 73 30 31 78 00 2C 02 F8 6F 18 62 6C 6B 5F 73 61 6C 6F 6F 6E 5F 69 6E 74 5F 50 72 6F 70 73 30 31 78 00 2C 02 F9 6F 13 62 6C 6B 5F 73 61 6C 6F 6F 6E 5F 69 6E 74 5F 30 31 78 00 2C 02 F9 6F 0D 74 68 69 5F 67 61 74 65 73 30 31 78 00 2C 02 F9 6F 0D
props01x,54919,0xD687,"L_curve132..,..+b..o.hen_barn02x.,..o.hen_barn02props01x.,..o.hen_barn01x.,..o.hen_barn01props01x.,..b..",4C 5F 63 75 72 76 65 31 33 32 00 8C 2C 05 F7 2B 62 1A F2 6F 0C 68 65 6E 5F 62 61 72 6E 30 32 78 00 2C 02 F8 6F 13 68 65 6E 5F 62 61 72 6E 30 32 70 72 6F 70 73 30 31 78 00 2C 02 F8 6F 0C 68 65 6E 5F 62 61 72 6E 30 31 78 00 2C 02 F9 6F 13 68 65 6E 5F 62 61 72 6E 30 31 70 72 6F 70 73 30 31 78 00 2C 02 F9 62 1A 9D
props01x,54960,0xD6B0,"_barn02props01x.,..o.hen_barn01x.,..o.hen_barn01props01x.,..b..b..o.campoMiradaAfter.,..o.campoMiradaBef",5F 62 61 72 6E 30 32 70 72 6F 70 73 30 31 78 00 2C 02 F8 6F 0C 68 65 6E 5F 62 61 72 6E 30 31 78 00 2C 02 F9 6F 13 68 65 6E 5F 62 61 72 6E 30 31 70 72 6F 70 73 30 31 78 00 2C 02 F9 62 1A 9D 62 1A 9A 6F 11 63 61 6D 70 6F 4D 69 72 61 64 61 41 66 74 65 72 00 2C 02 F5 6F 12 63 61 6D 70 6F 4D 69 72 61 64 61 42 65 66
props01x,55449,0xD899,"ghBefore01x.,..b..o.morningStar.,..o.blk_barge01Props01x.,..o.blk_barge01x.,..o.blk_theatre_int_Props01x",67 68 42 65 66 6F 72 65 30 31 78 00 2C 02 F8 62 18 E1 6F 0C 6D 6F 72 6E 69 6E 67 53 74 61 72 00 2C 02 F5 6F 14 62 6C 6B 5F 62 61 72 67 65 30 31 50 72 6F 70 73 30 31 78 00 2C 02 F8 6F 0D 62 6C 6B 5F 62 61 72 67 65 30 31 78 00 2C 02 F8 6F 19 62 6C 6B 5F 74 68 65 61 74 72 65 5F 69 6E 74 5F 50 72 6F 70 73 30 31 78
props01x,55497,0xD8C9,"Props01x.,..o.blk_barge01x.,..o.blk_theatre_int_Props01x.,..o.blk_theatre_int_01x.,..o.blk_bank01_int_Pr",50 72 6F 70 73 30 31 78 00 2C 02 F8 6F 0D 62 6C 6B 5F 62 61 72 67 65 30 31 78 00 2C 02 F8 6F 19 62 6C 6B 5F 74 68 65 61 74 72 65 5F 69 6E 74 5F 50 72 6F 70 73 30 31 78 00 2C 02 F8 6F 14 62 6C 6B 5F 74 68 65 61 74 72 65 5F 69 6E 74 5F 30 31 78 00 2C 02 F8 6F 18 62 6C 6B 5F 62 61 6E 6B 30 31 5F 69 6E 74 5F 50 72
props01x,55634,0xD952,".blk_bank_int_shade_02x.,..o.blk_cityHall01_int_Props01x.,..o.blk_cityHall_int_01x.,..o!blk_policeStatio",17 62 6C 6B 5F 62 61 6E 6B 5F 69 6E 74 5F 73 68 61 64 65 5F 30 32 78 00 2C 02 F9 6F 1C 62 6C 6B 5F 63 69 74 79 48 61 6C 6C 30 31 5F 69 6E 74 5F 50 72 6F 70 73 30 31 78 00 2C 02 F8 6F 15 62 6C 6B 5F 63 69 74 79 48 61 6C 6C 5F 69 6E 74 5F 30 31 78 00 2C 02 F8 6F 21 62 6C 6B 5F 70 6F 6C 69 63 65 53 74 61 74 69 6F
props01x,55767,0xD9D7,"iceStation_int_02x.,..o!blk_policeStation01_int_props01x.,..o.blk_policeStation_int_01x.,..o blk_policeS",69 63 65 53 74 61 74 69 6F 6E 5F 69 6E 74 5F 30 32 78 00 2C 02 F8 6F 21 62 6C 6B 5F 70 6F 6C 69 63 65 53 74 61 74 69 6F 6E 30 31 5F 69 6E 74 5F 70 72 6F 70 73 30 31 78 00 2C 02 F9 6F 1A 62 6C 6B 5F 70 6F 6C 69 63 65 53 74 61 74 69 6F 6E 5F 69 6E 74 5F 30 31 78 00 2C 02 F9 6F 20 62 6C 6B 5F 70 6F 6C 69 63 65 53
props01x,55868,0xDA3C,"ceStation_int_shades01x.,..o.blk_blacksmith_int_Props01x.,..o.blk_blacksmith_int_01x.,..o.blk_church_int",63 65 53 74 61 74 69 6F 6E 5F 69 6E 74 5F 73 68 61 64 65 73 30 31 78 00 2C 02 F9 6F 1C 62 6C 6B 5F 62 6C 61 63 6B 73 6D 69 74 68 5F 69 6E 74 5F 50 72 6F 70 73 30 31 78 00 2C 02 F8 6F 17 62 6C 6B 5F 62 6C 61 63 6B 73 6D 69 74 68 5F 69 6E 74 5F 30 31 78 00 2C 02 F8 6F 18 62 6C 6B 5F 63 68 75 72 63 68 5F 69 6E 74
props01x,55925,0xDA75,",..o.blk_blacksmith_int_01x.,..o.blk_church_int_Props01x.,..o.blk_church_int_01x.,..o.blk_doctorsOffice_",2C 02 F8 6F 17 62 6C 6B 5F 62 6C 61 63 6B 73 6D 69 74 68 5F 69 6E 74 5F 30 31 78 00 2C 02 F8 6F 18 62 6C 6B 5F 63 68 75 72 63 68 5F 69 6E 74 5F 50 72 6F 70 73 30 31 78 00 2C 02 F8 6F 13 62 6C 6B 5F 63 68 75 72 63 68 5F 69 6E 74 5F 30 31 78 00 2C 02 F8 6F 1F 62 6C 6B 5F 64 6F 63 74 6F 72 73 4F 66 66 69 63 65 5F
