input,file_name,platform,reader_endian_requested,returncode,duration_seconds,ok,decoded_size,object_start,function_count,decompiled_chars,error,error_type,stdout,stderr,reader_endian
D:\Games\Red Dead Redemption\game\XENON MULTIPLAYER\mp pass\camp\outlaw_camp02_gringo.wsc,outlaw_camp02_gringo.wsc,Switch,Auto,0,1.113,True,36864,32768,150,2652,,,"{""ok"":true,""input"":""D:\\Games\\Red Dead Redemption\\game\\XENON MULTIPLAYER\\mp pass\\camp\\outlaw_camp02_gringo.wsc"",""platform"":""Switch"",""reader_endian"":""Little"",""decoded_size"":36864,""object_start"":32768,""function_count"":150,""decompiled_chars"":2652,""error"":""""}",,Little
D:\Games\Red Dead Redemption\game\XENON MULTIPLAYER\mp pass\camp\outlaw_camp03_gringo.wsc,outlaw_camp03_gringo.wsc,Switch,Auto,0,1.084,True,36864,32768,155,3058,,,"{""ok"":true,""input"":""D:\\Games\\Red Dead Redemption\\game\\XENON MULTIPLAYER\\mp pass\\camp\\outlaw_camp03_gringo.wsc"",""platform"":""Switch"",""reader_endian"":""Little"",""decoded_size"":36864,""object_start"":32768,""function_count"":155,""decompiled_chars"":3058,""error"":""""}",,Little
D:\Games\Red Dead Redemption\game\XENON MULTIPLAYER\mp pass\cootschapel_mp_gy.wsc,cootschapel_mp_gy.wsc,Switch,Auto,0,1.715,True,126976,122880,1862,48390,,,"{""ok"":true,""input"":""D:\\Games\\Red Dead Redemption\\game\\XENON MULTIPLAYER\\mp pass\\cootschapel_mp_gy.wsc"",""platform"":""Switch"",""reader_endian"":""Little"",""decoded_size"":126976,""object_start"":122880,""function_count"":1862,""decompiled_chars"":48390,""error"":""""}",,Little
D:\Games\Red Dead Redemption\game\XENON MULTIPLAYER\mp pass\fuieventmonitor.wsc,fuieventmonitor.wsc,Switch,Auto,0,1.05,True,20480,16384,87,1656,,,"{""ok"":true,""input"":""D:\\Games\\Red Dead Redemption\\game\\XENON MULTIPLAYER\\mp pass\\fuieventmonitor.wsc"",""platform"":""Switch"",""reader_endian"":""Little"",""decoded_size"":20480,""object_start"":16384,""function_count"":87,""decompiled_chars"":1656,""error"":""""}",,Little
D:\Games\Red Dead Redemption\game\XENON MULTIPLAYER\mp pass\fuieventmonitor_z.wsc,fuieventmonitor_z.wsc,Switch,Auto,0,1.054,True,20480,16384,87,1578,,,"{""ok"":true,""input"":""D:\\Games\\Red Dead Redemption\\game\\XENON MULTIPLAYER\\mp pass\\fuieventmonitor_z.wsc"",""platform"":""Switch"",""reader_endian"":""Little"",""decoded_size"":20480,""object_start"":16384,""function_count"":87,""decompiled_chars"":1578,""error"":""""}",,Little
D:\Games\Red Dead Redemption\game\XENON MULTIPLAYER\mp pass\long_update_thread.wsc,long_update_thread.wsc,Switch,Auto,0,2.096,True,225280,221184,3573,66701,,,"{""ok"":true,""input"":""D:\\Games\\Red Dead Redemption\\game\\XENON MULTIPLAYER\\mp pass\\long_update_thread.wsc"",""platform"":""Switch"",""reader_endian"":""Little"",""decoded_size"":225280,""object_start"":221184,""function_count"":3573,""decompiled_chars"":66701,""error"":""""}",,Little
D:\Games\Red Dead Redemption\game\XENON MULTIPLAYER\mp pass\main.wsc,main.wsc,Switch,Auto,0,1.955,True,233472,229376,1989,42751,,,"{""ok"":true,""input"":""D:\\Games\\Red Dead Redemption\\game\\XENON MULTIPLAYER\\mp pass\\main.wsc"",""platform"":""Switch"",""reader_endian"":""Little"",""decoded_size"":233472,""object_start"":229376,""function_count"":1989,""decompiled_chars"":42751,""error"":""""}",,Little
D:\Games\Red Dead Redemption\game\XENON MULTIPLAYER\mp pass\main_mp_save_unblock.wsc,main_mp_save_unblock.wsc,Switch,Auto,0,2.096,True,233472,229376,1989,42751,,,"{""ok"":true,""input"":""D:\\Games\\Red Dead Redemption\\game\\XENON MULTIPLAYER\\mp pass\\main_mp_save_unblock.wsc"",""platform"":""Switch"",""reader_endian"":""Little"",""decoded_size"":233472,""object_start"":229376,""function_count"":1989,""decompiled_chars"":42751,""error"":""""}",,Little
D:\Games\Red Dead Redemption\game\XENON MULTIPLAYER\mp pass\main_z.wsc,main_z.wsc,Switch,Auto,0,1.769,True,200704,196608,1272,31279,,,"{""ok"":true,""input"":""D:\\Games\\Red Dead Redemption\\game\\XENON MULTIPLAYER\\mp pass\\main_z.wsc"",""platform"":""Switch"",""reader_endian"":""Little"",""decoded_size"":200704,""object_start"":196608,""function_count"":1272,""decompiled_chars"":31279,""error"":""""}",,Little
D:\Games\Red Dead Redemption\game\XENON MULTIPLAYER\mp pass\main_z_mp_save_unblock.wsc,main_z_mp_save_unblock.wsc,Switch,Auto,0,1.747,True,200704,196608,1272,31279,,,"{""ok"":true,""input"":""D:\\Games\\Red Dead Redemption\\game\\XENON MULTIPLAYER\\mp pass\\main_z_mp_save_unblock.wsc"",""platform"":""Switch"",""reader_endian"":""Little"",""decoded_size"":200704,""object_start"":196608,""function_count"":1272,""decompiled_chars"":31279,""error"":""""}",,Little
D:\Games\Red Dead Redemption\game\XENON MULTIPLAYER\mp pass\medium_update_thread.wsc,medium_update_thread.wsc,Switch,Auto,0,1.423,True,143360,139264,1151,18783,,,"{""ok"":true,""input"":""D:\\Games\\Red Dead Redemption\\game\\XENON MULTIPLAYER\\mp pass\\medium_update_thread.wsc"",""platform"":""Switch"",""reader_endian"":""Little"",""decoded_size"":143360,""object_start"":139264,""function_count"":1151,""decompiled_chars"":18783,""error"":""""}",,Little
