input,file_name,platform,reader_endian_requested,returncode,duration_seconds,ok,decoded_size,object_start,function_count,decompiled_chars,error,error_type,stdout,stderr,reader_endian
D:\Games\Red Dead Redemption\Code_RED\build\mp_script_conversion_probe\xsc_lzx_pc_wsc_magicrdr_fixed_all\regions\ctf_tum\ctf_tum_single.wsc,ctf_tum_single.wsc,Switch,Auto,0,1.036,True,28672,24576,189,4898,,,"{""ok"":true,""input"":""D:\\Games\\Red Dead Redemption\\Code_RED\\build\\mp_script_conversion_probe\\xsc_lzx_pc_wsc_magicrdr_fixed_all\\regions\\ctf_tum\\ctf_tum_single.wsc"",""platform"":""Switch"",""reader_endian"":""Little"",""decoded_size"":28672,""object_start"":24576,""function_count"":189,""decompiled_chars"":4898,""error"":""""}",,Little
D:\Games\Red Dead Redemption\Code_RED\build\mp_script_conversion_probe\xsc_lzx_pc_wsc_magicrdr_fixed_all\regions\ctf_upr\ctf_upr.wsc,ctf_upr.wsc,Switch,Auto,0,1.104,True,28672,24576,162,4408,,,"{""ok"":true,""input"":""D:\\Games\\Red Dead Redemption\\Code_RED\\build\\mp_script_conversion_probe\\xsc_lzx_pc_wsc_magicrdr_fixed_all\\regions\\ctf_upr\\ctf_upr.wsc"",""platform"":""Switch"",""reader_endian"":""Little"",""decoded_size"":28672,""object_start"":24576,""function_count"":162,""decompiled_chars"":4408,""error"":""""}",,Little
D:\Games\Red Dead Redemption\Code_RED\build\mp_script_conversion_probe\xsc_lzx_pc_wsc_magicrdr_fixed_all\regions\ctf_w2\ctf_w2_single.wsc,ctf_w2_single.wsc,Switch,Auto,0,1.019,True,20480,16384,155,3757,,,"{""ok"":true,""input"":""D:\\Games\\Red Dead Redemption\\Code_RED\\build\\mp_script_conversion_probe\\xsc_lzx_pc_wsc_magicrdr_fixed_all\\regions\\ctf_w2\\ctf_w2_single.wsc"",""platform"":""Switch"",""reader_endian"":""Little"",""decoded_size"":20480,""object_start"":16384,""function_count"":155,""decompiled_chars"":3757,""error"":""""}",,Little
D:\Games\Red Dead Redemption\Code_RED\build\mp_script_conversion_probe\xsc_lzx_pc_wsc_magicrdr_fixed_all\regions\dm_arm\deathmatch_arm.wsc,deathmatch_arm.wsc,Switch,Auto,0,1.054,True,36864,32768,177,5086,,,"{""ok"":true,""input"":""D:\\Games\\Red Dead Redemption\\Code_RED\\build\\mp_script_conversion_probe\\xsc_lzx_pc_wsc_magicrdr_fixed_all\\regions\\dm_arm\\deathmatch_arm.wsc"",""platform"":""Switch"",""reader_endian"":""Little"",""decoded_size"":36864,""object_start"":32768,""function_count"":177,""decompiled_chars"":5086,""error"":""""}",,Little
D:\Games\Red Dead Redemption\Code_RED\build\mp_script_conversion_probe\xsc_lzx_pc_wsc_magicrdr_fixed_all\regions\dm_chu\deathmatch_chu.wsc,deathmatch_chu.wsc,Switch,Auto,0,1.053,True,28672,24576,176,4452,,,"{""ok"":true,""input"":""D:\\Games\\Red Dead Redemption\\Code_RED\\build\\mp_script_conversion_probe\\xsc_lzx_pc_wsc_magicrdr_fixed_all\\regions\\dm_chu\\deathmatch_chu.wsc"",""platform"":""Switch"",""reader_endian"":""Little"",""decoded_size"":28672,""object_start"":24576,""function_count"":176,""decompiled_chars"":4452,""error"":""""}",,Little
D:\Games\Red Dead Redemption\Code_RED\build\mp_script_conversion_probe\xsc_lzx_pc_wsc_magicrdr_fixed_all\regions\dm_hen\deathmatch_hen.wsc,deathmatch_hen.wsc,Switch,Auto,0,1.2,True,36864,32768,187,13888,,,"{""ok"":true,""input"":""D:\\Games\\Red Dead Redemption\\Code_RED\\build\\mp_script_conversion_probe\\xsc_lzx_pc_wsc_magicrdr_fixed_all\\regions\\dm_hen\\deathmatch_hen.wsc"",""platform"":""Switch"",""reader_endian"":""Little"",""decoded_size"":36864,""object_start"":32768,""function_count"":187,""decompiled_chars"":13888,""error"":""""}",,Little
D:\Games\Red Dead Redemption\Code_RED\build\mp_script_conversion_probe\xsc_lzx_pc_wsc_magicrdr_fixed_all\regions\dm_lsh\deathmatch_lsh.wsc,deathmatch_lsh.wsc,Switch,Auto,0,1.168,True,36864,32768,177,9454,,,"{""ok"":true,""input"":""D:\\Games\\Red Dead Redemption\\Code_RED\\build\\mp_script_conversion_probe\\xsc_lzx_pc_wsc_magicrdr_fixed_all\\regions\\dm_lsh\\deathmatch_lsh.wsc"",""platform"":""Switch"",""reader_endian"":""Little"",""decoded_size"":36864,""object_start"":32768,""function_count"":177,""decompiled_chars"":9454,""error"":""""}",,Little
D:\Games\Red Dead Redemption\Code_RED\build\mp_script_conversion_probe\xsc_lzx_pc_wsc_magicrdr_fixed_all\regions\dm_tum\deathmatch_tum.wsc,deathmatch_tum.wsc,Switch,Auto,0,1.217,True,28672,24576,187,10391,,,"{""ok"":true,""input"":""D:\\Games\\Red Dead Redemption\\Code_RED\\build\\mp_script_conversion_probe\\xsc_lzx_pc_wsc_magicrdr_fixed_all\\regions\\dm_tum\\deathmatch_tum.wsc"",""platform"":""Switch"",""reader_endian"":""Little"",""decoded_size"":28672,""object_start"":24576,""function_count"":187,""decompiled_chars"":10391,""error"":""""}",,Little
D:\Games\Red Dead Redemption\Code_RED\build\mp_script_conversion_probe\xsc_lzx_pc_wsc_magicrdr_fixed_all\regions\minigames\liarsdice_sb.wsc,liarsdice_sb.wsc,Switch,Auto,0,1.108,True,12288,8192,41,895,,,"{""ok"":true,""input"":""D:\\Games\\Red Dead Redemption\\Code_RED\\build\\mp_script_conversion_probe\\xsc_lzx_pc_wsc_magicrdr_fixed_all\\regions\\minigames\\liarsdice_sb.wsc"",""platform"":""Switch"",""reader_endian"":""Little"",""decoded_size"":12288,""object_start"":8192,""function_count"":41,""decompiled_chars"":895,""error"":""""}",,Little
D:\Games\Red Dead Redemption\Code_RED\build\mp_script_conversion_probe\xsc_lzx_pc_wsc_magicrdr_fixed_all\regions\minigames\poker_sb.wsc,poker_sb.wsc,Switch,Auto,0,1.155,True,12288,8192,41,895,,,"{""ok"":true,""input"":""D:\\Games\\Red Dead Redemption\\Code_RED\\build\\mp_script_conversion_probe\\xsc_lzx_pc_wsc_magicrdr_fixed_all\\regions\\minigames\\poker_sb.wsc"",""platform"":""Switch"",""reader_endian"":""Little"",""decoded_size"":12288,""object_start"":8192,""function_count"":41,""decompiled_chars"":895,""error"":""""}",,Little
