path,extension,size,sha1,first_32_bytes_hex,family,decode_status,conversion_status,note,normalized_flag1,normalized_flag2
imports\XENON MULTIPLAYER\content\release64\multiplayer\action_areas\fort_mercer\fortmercermp.xsc,.xsc,28748,297F62C610C1D1835FFA8EF1992E17145506BDF5,85 43 53 52 00 00 00 02 80 00 00 00 80 00 00 11 10 B4 CA 25 38 34 DD 75 9B F9 C9 EB EE A2 F9 33,XSC_SWAPPED_RSC85,xcompress_probe_required,still_blocked,"Wrapper is close to PC RSC85, but payload conversion requires validated XCompress/LZX decode and PC repack.",0x80000000,0x80000011
imports\XENON MULTIPLAYER\content\release64\multiplayer\action_areas\gaptooth_breach\gaptoothbreachmp.xsc,.xsc,30760,822DEE0898DE1AF36627E31528C602C2DD7D62B6,85 43 53 52 00 00 00 02 80 00 00 00 90 00 00 12 09 48 0A AF F4 77 4B 39 AE D6 1A 21 E1 DD 1A AF,XSC_SWAPPED_RSC85,xcompress_probe_required,still_blocked,"Wrapper is close to PC RSC85, but payload conversion requires validated XCompress/LZX decode and PC repack.",0x80000000,0x90000012
imports\XENON MULTIPLAYER\content\release64\multiplayer\action_areas\genericmp_aa.xsc,.xsc,2868,8F86E8D066095D54C07BDC1E14C9D48E971EDF1D,85 43 53 52 00 00 00 02 80 00 00 00 90 00 00 02 D6 FD 73 CB 17 36 4F DB 0B 8E 4C 08 F0 05 9C 0B,XSC_SWAPPED_RSC85,xcompress_probe_required,still_blocked,"Wrapper is close to PC RSC85, but payload conversion requires validated XCompress/LZX decode and PC repack.",0x80000000,0x90000002
imports\XENON MULTIPLAYER\content\release64\multiplayer\action_areas\nosalida\nosalidamp.xsc,.xsc,27692,12097D2F596D9DAE8CF19F3C7AC66894F7459556,85 43 53 52 00 00 00 02 80 00 00 00 80 00 00 11 AC 10 B8 F8 1E 93 E7 B4 59 8B E0 A0 80 C5 F2 F2,XSC_SWAPPED_RSC85,xcompress_probe_required,still_blocked,"Wrapper is close to PC RSC85, but payload conversion requires validated XCompress/LZX decode and PC repack.",0x80000000,0x80000011
imports\XENON MULTIPLAYER\content\release64\multiplayer\action_areas\pikes_basin\pikesbasinmp.xsc,.xsc,28506,795D7170D7A0219BE8BDF72298B28F0CD88660C0,85 43 53 52 00 00 00 02 80 00 00 00 80 00 00 11 B8 C3 48 D9 8B 70 4E D3 E4 4E A4 01 A3 E1 5D 22,XSC_SWAPPED_RSC85,xcompress_probe_required,still_blocked,"Wrapper is close to PC RSC85, but payload conversion requires validated XCompress/LZX decode and PC repack.",0x80000000,0x80000011
imports\XENON MULTIPLAYER\content\release64\multiplayer\action_areas\solomons_folly\solomonsfollymp.xsc,.xsc,26414,1BDCED02D7FBDF024C0F2D42793156525EDBAD4A,85 43 53 52 00 00 00 02 80 00 00 00 80 00 00 0F 31 AF DD 7E A4 DC B9 B6 DC 4D 8C E2 80 8A 45 83,XSC_SWAPPED_RSC85,xcompress_probe_required,still_blocked,"Wrapper is close to PC RSC85, but payload conversion requires validated XCompress/LZX decode and PC repack.",0x80000000,0x8000000F
imports\XENON MULTIPLAYER\content\release64\multiplayer\action_areas\tesoro_azul\tesoroazulmp.xsc,.xsc,28240,596C2741826A8E797859A78FA507EE62F9670E89,85 43 53 52 00 00 00 02 80 00 00 00 80 00 00 11 E0 7E 79 EB 38 20 57 77 1E 24 40 AE 7D 8B 91 21,XSC_SWAPPED_RSC85,xcompress_probe_required,still_blocked,"Wrapper is close to PC RSC85, but payload conversion requires validated XCompress/LZX decode and PC repack.",0x80000000,0x80000011
imports\XENON MULTIPLAYER\content\release64\multiplayer\action_areas\tumbleweed\tumbleweedmp.xsc,.xsc,28524,6F6157EB27B306B935640D79168A78A5A1B5EF68,85 43 53 52 00 00 00 02 80 00 00 00 80 00 00 11 BF 06 9B 9B 5A 24 62 55 74 65 1B ED 2E D8 71 A0,XSC_SWAPPED_RSC85,xcompress_probe_required,still_blocked,"Wrapper is close to PC RSC85, but payload conversion requires validated XCompress/LZX decode and PC repack.",0x80000000,0x80000011
imports\XENON MULTIPLAYER\content\release64\multiplayer\action_areas\twin_rocks\twinrocksmp.xsc,.xsc,27412,D56C8AAC6A1A17386D2800715BDE716B99BB572B,85 43 53 52 00 00 00 02 80 00 00 00 80 00 00 11 EA B6 D9 0B 07 82 03 6C 7A C0 33 11 88 1D A8 BE,XSC_SWAPPED_RSC85,xcompress_probe_required,still_blocked,"Wrapper is close to PC RSC85, but payload conversion requires validated XCompress/LZX decode and PC repack.",0x80000000,0x80000011
imports\XENON MULTIPLAYER\content\release64\multiplayer\action_areas\wilderness\bearwildernessaa.xsc,.xsc,12632,CC4257F30EFB489D48EC93781F40B33446839690,85 43 53 52 00 00 00 02 80 00 00 00 80 00 00 07 A0 BF 79 3C 2D C2 03 1A B8 84 26 B2 AF E5 28 95,XSC_SWAPPED_RSC85,xcompress_probe_required,still_blocked,"Wrapper is close to PC RSC85, but payload conversion requires validated XCompress/LZX decode and PC repack.",0x80000000,0x80000007
