relative_path,returncode,ok,stdout,stderr
regions/ctf_chu/ctf_chu_sym.wsc,0,True,"{
  ""status"": ""inspected"",
  ""out"": ""D:\\Games\\Red Dead Redemption\\Code_RED\\reports\\mp_xenon_full_conversion_pass2\\codered_inspect_samples\\regions__ctf_chu__ctf_chu_sym.wsc"",
  ""strings"": 473,
  ""functions"": 176,
  ""natives"": 514
}",
regions/ctf_dzc/ctf_dzc_sym.wsc,0,True,"{
  ""status"": ""inspected"",
  ""out"": ""D:\\Games\\Red Dead Redemption\\Code_RED\\reports\\mp_xenon_full_conversion_pass2\\codered_inspect_samples\\regions__ctf_dzc__ctf_dzc_sym.wsc"",
  ""strings"": 566,
  ""functions"": 187,
  ""natives"": 541
}",
regions/ctf_hen/ctf_hen.wsc,0,True,"{
  ""status"": ""inspected"",
  ""out"": ""D:\\Games\\Red Dead Redemption\\Code_RED\\reports\\mp_xenon_full_conversion_pass2\\codered_inspect_samples\\regions__ctf_hen__ctf_hen.wsc"",
  ""strings"": 683,
  ""functions"": 162,
  ""natives"": 566
}",
regions/ctf_lsh/ctf_lsh.wsc,0,True,"{
  ""status"": ""inspected"",
  ""out"": ""D:\\Games\\Red Dead Redemption\\Code_RED\\reports\\mp_xenon_full_conversion_pass2\\codered_inspect_samples\\regions__ctf_lsh__ctf_lsh.wsc"",
  ""strings"": 694,
  ""functions"": 163,
  ""natives"": 595
}",
regions/ctf_lsh/ctf_lsh_sym.wsc,0,True,"{
  ""status"": ""inspected"",
  ""out"": ""D:\\Games\\Red Dead Redemption\\Code_RED\\reports\\mp_xenon_full_conversion_pass2\\codered_inspect_samples\\regions__ctf_lsh__ctf_lsh_sym.wsc"",
  ""strings"": 457,
  ""functions"": 178,
  ""natives"": 497
}",
regions/ctf_tes/ctf_tes_single.wsc,0,True,"{
  ""status"": ""inspected"",
  ""out"": ""D:\\Games\\Red Dead Redemption\\Code_RED\\reports\\mp_xenon_full_conversion_pass2\\codered_inspect_samples\\regions__ctf_tes__ctf_tes_single.wsc"",
  ""strings"": 451,
  ""functions"": 177,
  ""natives"": 494
}",
regions/ctf_tes/ctf_tes_sym.wsc,0,True,"{
  ""status"": ""inspected"",
  ""out"": ""D:\\Games\\Red Dead Redemption\\Code_RED\\reports\\mp_xenon_full_conversion_pass2\\codered_inspect_samples\\regions__ctf_tes__ctf_tes_sym.wsc"",
  ""strings"": 450,
  ""functions"": 175,
  ""natives"": 487
}",
regions/ctf_tum/ctf_tum_single.wsc,0,True,"{
  ""status"": ""inspected"",
  ""out"": ""D:\\Games\\Red Dead Redemption\\Code_RED\\reports\\mp_xenon_full_conversion_pass2\\codered_inspect_samples\\regions__ctf_tum__ctf_tum_single.wsc"",
  ""strings"": 529,
  ""functions"": 189,
  ""natives"": 561
}",
regions/ctf_upr/ctf_upr.wsc,0,True,"{
  ""status"": ""inspected"",
  ""out"": ""D:\\Games\\Red Dead Redemption\\Code_RED\\reports\\mp_xenon_full_conversion_pass2\\codered_inspect_samples\\regions__ctf_upr__ctf_upr.wsc"",
  ""strings"": 449,
  ""functions"": 162,
  ""natives"": 521
}",
regions/ctf_w2/ctf_w2_single.wsc,0,True,"{
  ""status"": ""inspected"",
  ""out"": ""D:\\Games\\Red Dead Redemption\\Code_RED\\reports\\mp_xenon_full_conversion_pass2\\codered_inspect_samples\\regions__ctf_w2__ctf_w2_single.wsc"",
  ""strings"": 356,
  ""functions"": 155,
  ""natives"": 406
}",
regions/dm_arm/deathmatch_arm.wsc,0,True,"{
  ""status"": ""inspected"",
  ""out"": ""D:\\Games\\Red Dead Redemption\\Code_RED\\reports\\mp_xenon_full_conversion_pass2\\codered_inspect_samples\\regions__dm_arm__deathmatch_arm.wsc"",
  ""strings"": 627,
  ""functions"": 177,
  ""natives"": 583
}",
regions/dm_chu/deathmatch_chu.wsc,0,True,"{
  ""status"": ""inspected"",
  ""out"": ""D:\\Games\\Red Dead Redemption\\Code_RED\\reports\\mp_xenon_full_conversion_pass2\\codered_inspect_samples\\regions__dm_chu__deathmatch_chu.wsc"",
  ""strings"": 500,
  ""functions"": 176,
  ""natives"": 558
}",
regions/dm_hen/deathmatch_hen.wsc,0,True,"{
  ""status"": ""inspected"",
  ""out"": ""D:\\Games\\Red Dead Redemption\\Code_RED\\reports\\mp_xenon_full_conversion_pass2\\codered_inspect_samples\\regions__dm_hen__deathmatch_hen.wsc"",
  ""strings"": 743,
  ""functions"": 187,
  ""natives"": 617
}",
regions/dm_lsh/deathmatch_lsh.wsc,0,True,"{
  ""status"": ""inspected"",
  ""out"": ""D:\\Games\\Red Dead Redemption\\Code_RED\\reports\\mp_xenon_full_conversion_pass2\\codered_inspect_samples\\regions__dm_lsh__deathmatch_lsh.wsc"",
  ""strings"": 667,
  ""functions"": 177,
  ""natives"": 613
}",
regions/dm_tum/deathmatch_tum.wsc,0,True,"{
  ""status"": ""inspected"",
  ""out"": ""D:\\Games\\Red Dead Redemption\\Code_RED\\reports\\mp_xenon_full_conversion_pass2\\codered_inspect_samples\\regions__dm_tum__deathmatch_tum.wsc"",
  ""strings"": 610,
  ""functions"": 187,
  ""natives"": 599
}",
regions/minigames/liarsdice_sb.wsc,0,True,"{
  ""status"": ""inspected"",
  ""out"": ""D:\\Games\\Red Dead Redemption\\Code_RED\\reports\\mp_xenon_full_conversion_pass2\\codered_inspect_samples\\regions__minigames__liarsdice_sb.wsc"",
  ""strings"": 108,
  ""functions"": 41,
  ""natives"": 127
}",
regions/minigames/poker_sb.wsc,0,True,"{
  ""status"": ""inspected"",
  ""out"": ""D:\\Games\\Red Dead Redemption\\Code_RED\\reports\\mp_xenon_full_conversion_pass2\\codered_inspect_samples\\regions__minigames__poker_sb.wsc"",
  ""strings"": 107,
  ""functions"": 41,
  ""natives"": 128
}",
rotations/gametype_lobby.wsc,0,True,"{
  ""status"": ""inspected"",
  ""out"": ""D:\\Games\\Red Dead Redemption\\Code_RED\\reports\\mp_xenon_full_conversion_pass2\\codered_inspect_samples\\rotations__gametype_lobby.wsc"",
  ""strings"": 1518,
  ""functions"": 592,
  ""natives"": 2232
}",
sessionmap.wsc,0,True,"{
  ""status"": ""inspected"",
  ""out"": ""D:\\Games\\Red Dead Redemption\\Code_RED\\reports\\mp_xenon_full_conversion_pass2\\codered_inspect_samples\\sessionmap.wsc"",
  ""strings"": 19,
  ""functions"": 12,
  ""natives"": 61
}",
spectator/mp_spectator.wsc,0,True,"{
  ""status"": ""inspected"",
  ""out"": ""D:\\Games\\Red Dead Redemption\\Code_RED\\reports\\mp_xenon_full_conversion_pass2\\codered_inspect_samples\\spectator__mp_spectator.wsc"",
  ""strings"": 67,
  ""functions"": 42,
  ""natives"": 103
}",
spectator/mp_spectatormk2.wsc,0,True,"{
  ""status"": ""inspected"",
  ""out"": ""D:\\Games\\Red Dead Redemption\\Code_RED\\reports\\mp_xenon_full_conversion_pass2\\codered_inspect_samples\\spectator__mp_spectatormk2.wsc"",
  ""strings"": 104,
  ""functions"": 70,
  ""natives"": 148
}",
support/mp_actorpicker.wsc,0,True,"{
  ""status"": ""inspected"",
  ""out"": ""D:\\Games\\Red Dead Redemption\\Code_RED\\reports\\mp_xenon_full_conversion_pass2\\codered_inspect_samples\\support__mp_actorpicker.wsc"",
  ""strings"": 1012,
  ""functions"": 314,
  ""natives"": 1052
}",
tutorial/mp_tutorial.wsc,0,True,"{
  ""status"": ""inspected"",
  ""out"": ""D:\\Games\\Red Dead Redemption\\Code_RED\\reports\\mp_xenon_full_conversion_pass2\\codered_inspect_samples\\tutorial__mp_tutorial.wsc"",
  ""strings"": 68,
  ""functions"": 49,
  ""natives"": 172
}",
