offset,offset_hex,length,text,population_term,string_class
20079,0x4E6F,4,RO5A,,unknown
20085,0x4E75,5,RNyz-,,unknown
20109,0x4E8D,4,RO#8,,unknown
20146,0x4EB2,4,RO#8,,unknown
20419,0x4FC3,4,Rbk(,,unknown
20435,0x4FD3,6,D:{RRG,,unknown
20445,0x4FDD,4,:{RR,,unknown
20464,0x4FF0,4,:{RQ,,unknown
20472,0x4FF8,4,:{)D,,unknown
20479,0x4FFF,4,RP&P,,unknown
20495,0x500F,5,+:{RQ,,unknown
20504,0x5018,4,:{RQ,,unknown
20512,0x5020,4,:{RQ,,unknown
20525,0x502D,4,RRGc,,unknown
20533,0x5035,4,RPB8,,unknown
20553,0x5049,4,RRGc,,unknown
20587,0x506B,64,o?ERROR: Trying to get value of TIMER that has not been started!,,debug/display text
20654,0x50AE,82,HoQWARNING: Trying to get value of TIMER that has not been started! Returning 0.0 ,,debug/display text
20937,0x51C9,4,% RR,,debug/display text
20957,0x51DD,4,%@RR,,debug/display text
21026,0x5222,5,RR&~-,,unknown
21226,0x52EA,5,4`>`8,,unknown
21292,0x532C,17,Tried to get bit ,,debug/display text
21325,0x534D,19, bit from bad slot ,,debug/display text
21364,0x5374,5,4`>|8,,unknown
21571,0x5443,4,DEAD,,unknown
21582,0x544E,5,READY,,unknown
21594,0x545A,12,POKER_FOLDED,,unknown
21613,0x546D,13,RACE_FINISHED,,unknown
21633,0x5481,11,REGION_HOST,,unknown
21651,0x5493,12,ACTOR_HIDDEN,,likely logic anchor
21670,0x54A6,13,VOTE_TO_START,,unknown
21690,0x54BA,12,VOTE_TO_SKIP,,unknown
21709,0x54CD,14,VOTE_TO_REPLAY,,unknown
21730,0x54E2,11,IS_IN_LOBBY,,unknown
21748,0x54F4,15,GAME_ARBITRATOR,,unknown
21770,0x550A,11,JOINED_GAME,,unknown
21788,0x551C,13,SKIP_CUTSCENE,,unknown
21808,0x5530,14,START_CUTSCENE,,unknown
21829,0x5545,12,IS_SPECTATOR,,unknown
21848,0x5558,13,DISTRICT_HOST,,unknown
21868,0x556C,13,NEEDS_REVIVAL,,unknown
21888,0x5580,23,MP_BIT_MPLAW_MOSTWANTED,,likely logic anchor
21918,0x559E,21,HAS_VIRAL_ACHIEVEMENT,,unknown
21946,0x55BA,17,COMBATMODE_CASUAL,,unknown
21970,0x55D2,17,COMBATMODE_EXPERT,,unknown
21994,0x55EA,15,IN_ACTOR_PICKER,,likely logic anchor
22016,0x5600,13,MELEE_BLOCKED,,unknown
22036,0x5614,10,BLIND_FIRE,,unknown
22053,0x5625,24,FREE_MODE_DEFENSE_ACTIVE,,unknown
22084,0x5644,17,PLAYER_IS_GRIEFER,,unknown
22108,0x565C,22,CANNOT_AFFORD_MINIGAME,,unknown
22137,0x5679,29,FREE_MODE_DEFENSE_SPOONHOLDER,,unknown
22173,0x569D,7,UNKNOWN,,unknown
22199,0x56B7,50,Io0TRIED TO USE IS_SLOT_DATA_VALID WITH BAD INDEX ,,debug/display text
22352,0x5750,4,>`{-,,unknown
22432,0x57A0,4,"RZ,j",,unknown
22508,0x57EC,4,RX08,,unknown
22518,0x57F6,4,"RZ,b",,unknown
22533,0x5805,4,"RZ,b",,unknown
22540,0x580C,4,"RZ,8",,unknown
22851,0x5943,9,BoxKiller,,unknown
22885,0x5965,17,locked_footlocker,,unknown
22963,0x59B3,4,OqP4,,unknown
23051,0x5A0B,6,4`?h~-,,debug/display text
23132,0x5A5C,7,CTFBag_,,unknown
23288,0x5AF8,4,RRGc,,unknown
23313,0x5B11,4,RP&c,,unknown
23329,0x5B21,8,0&62R_B8,,unknown
23343,0x5B2F,4,&%67,,debug/display text
23361,0x5B41,6,%2R_B8,,debug/display text
23379,0x5B53,5,RL%R;,,debug/display text
23387,0x5B5B,5,8%6RM,,debug/display text
23397,0x5B65,4,RPB8,,unknown
23441,0x5B91,4,R9Tb,,unknown
23482,0x5BBA,4,0%68,,debug/display text
23492,0x5BC4,5,R9T%6,,debug/display text
23510,0x5BD6,5,RR&~-,,unknown
23704,0x5C98,8,_INTSLOT,,unknown
23726,0x5CAE,4,RMq9,,unknown
23749,0x5CC5,50,o1PVP_STORE_INT: failed to store int value in slot,,debug/display text
23821,0x5D0D,8,_INTSLOT,,unknown
23843,0x5D23,4,RMq9,,unknown
23879,0x5D47,60,o;PVP_RETRIEVE_INT: failed to retrieve int value from layout,,debug/display text
23961,0x5D99,16,challenge_01_128,,unknown
23995,0x5DBB,4,RH|8,,unknown
24027,0x5DDB,4,R9T8,,unknown
24048,0x5DF0,4,RIf8,,unknown
24251,0x5EBB,4,"R:0,",,unknown
24315,0x5EFB,11,_DYNAMIC_XP,,unknown
24361,0x5F29,13,_DYNAMIC_GOAL,,unknown
24393,0x5F49,16,challenge_04_128,,unknown
24539,0x5FDB,26,mp_MasterHunter_Rank2_Blip,,unknown
24635,0x603B,26,mp_MasterHunter_Rank3_Blip,,unknown
24690,0x6072,7,)C?%`)D,,debug/display text
24731,0x609B,26,mp_MasterHunter_Rank4_Blip,,unknown
24784,0x60D0,4,F%)C,,debug/display text
24827,0x60FB,26,mp_MasterHunter_Rank5_Blip,,unknown
24900,0x6144,5,"u>, c",,debug/display text
24942,0x616E,96,eo^Asking about a player with an index not = 0. Multiplayer Law Enforcement not yet implemented.,,likely logic anchor
25075,0x61F3,17,NETReplicationItr,,unknown
25107,0x6213,5,Rb[~8,,debug/display text
25170,0x6252,4,Rb[8,,debug/display text
25232,0x6290,5,RcqRb,,unknown
25246,0x629E,4,Rc?%,,debug/display text
25263,0x62AF,14,MPP_TitleValue,,unknown
25345,0x6301,5,"= r@,",,debug/display text
25377,0x6321,7,4`= r@o,,debug/display text
25385,0x6329,15,MpTitleStringId,,unknown
25464,0x6378,4,",V{-",,unknown
25495,0x6397,4,Rank,,unknown
25507,0x63A3,7,MpLevel,,unknown
25538,0x63C2,39,-o%$/content/multiplayer/PR_Disabled000,,likely logic anchor
25592,0x63F8,50,8o0$/content/multiplayer/disabled_system_threadxxx,,likely logic anchor
25724,0x647C,4,Rh4b,,unknown
25747,0x6493,4,Rh4b,,unknown
26083,0x65E3,4,Rh48,,unknown
26233,0x6679,4,Rh4b,,unknown
26263,0x6697,4,Rh4b,,unknown
26294,0x66B6,4,Rh4b,,unknown
26335,0x66DF,4,Rh4b,,unknown
26365,0x66FD,4,Rh4b,,unknown
26406,0x6726,4,Rh4b,,unknown
26447,0x674F,4,Rh4b,,unknown
26477,0x676D,4,Rh4b,,unknown
26511,0x678F,4,Rh4b,,unknown
26541,0x67AD,4,Rh4b,,unknown
26586,0x67DA,14,Done Streaming,,debug/display text
26601,0x67E9,5,O3`r@,,unknown
26607,0x67EF,6,"O3`?D,",,debug/display text
26615,0x67F7,10,O3`?@O3M>@,,debug/display text
26627,0x6803,7,O3`?Hz-,,debug/display text
26655,0x681F,4,547>,,unknown
26707,0x6853,6,zO3`>D,,unknown
26719,0x685F,9,Streaming,,unknown
26729,0x6869,5,O3`r@,,unknown
26735,0x686F,6,"O3`?D,",,debug/display text
26743,0x6877,17,O3`?@O3M>@O3`?Hz-,,debug/display text
26770,0x6892,6,*%C1++,,debug/display text
26816,0x68C0,5,R;;z-,,unknown
26874,0x68FA,4,4`?|,,debug/display text
26886,0x6906,18,NETReplicationTrap,,unknown
27010,0x6982,5,Rk; c,,debug/display text
27079,0x69C7,68,GoBAttempting to set relationship on invalid ACTORSET (first param).,,likely logic anchor
27159,0x6A17,51,6o1Attempting to set relationship on invalid ACTOR.,,likely logic anchor
27285,0x6A95,4,4`>p,,unknown
27367,0x6AE7,4,Rk;c,,unknown
27383,0x6AF7,5,ArmUp,,unknown
27404,0x6B0C,5,ArmUp,,unknown
27551,0x6B9F,16,gMPScratchLayout,,unknown
27600,0x6BD0,4,=pRk,,unknown
27613,0x6BDD,8,FREEROAM,,unknown
27644,0x6BFC,4,?$~-,,debug/display text
