index,type,path,name,extension,offset,size_in_archive,total_size,is_resource,is_compressed,resource_type
757,file,root/content/release64/init/rdr2combatclasses.sco,rdr2combatclasses.sco,.sco,16222624,1381,1381,False,False,
758,file,root/content/release64/init/rdr2combatclasses.wsc,rdr2combatclasses.wsc,.wsc,8710144,1335,12288,True,False,2
759,dir,root/content/release64/init/pop,pop,,,,,,,
760,file,root/content/release64/init/rdr2init_gringo_fro.sco,rdr2init_gringo_fro.sco,.sco,16333896,369,369,False,False,
761,file,root/content/release64/init/rdr2init_each_load.wsc,rdr2init_each_load.wsc,.wsc,8796160,6198,20480,True,False,2
762,file,root/content/release64/init/rdr2init_gringo_fro.wsc,rdr2init_gringo_fro.wsc,.wsc,8804352,398,4096,True,False,2
763,file,root/content/release64/init/rdr2init_gringo_mex.wsc,rdr2init_gringo_mex.wsc,.wsc,8806400,394,4096,True,False,2
764,file,root/content/release64/init/pop/fro_ghost_town.wsc,fro_ghost_town.wsc,.wsc,8865792,1915,4096,True,False,2
765,file,root/content/release64/init/pop/chu_population.wsc,chu_population.wsc,.wsc,8835072,3322,20480,True,False,2
766,file,root/content/release64/init/pop/fom_population.wsc,fom_population.wsc,.wsc,8863744,1792,8192,True,False,2
767,file,root/content/release64/init/pop/thi_population.wsc,thi_population.wsc,.wsc,8939520,3378,20480,True,False,2
768,file,root/content/release64/init/pop/sol_population.wsc,sol_population.wsc,.wsc,8931328,1819,12288,True,False,2
769,file,root/content/release64/init/pop/blk_population.wsc,blk_population.wsc,.wsc,22509568,1987,20480,True,False,2
770,file,root/content/release64/init/pop/ser_population.wsc,ser_population.wsc,.wsc,8929280,1791,8192,True,False,2
771,file,root/content/release64/init/pop/gap_population.wsc,gap_population.wsc,.wsc,8869888,1937,12288,True,False,2
772,file,root/content/release64/init/pop/rwf_population.wsc,rwf_population.wsc,.wsc,8925184,2264,12288,True,False,2
773,file,root/content/release64/init/pop/nor_ghost_town.wsc,nor_ghost_town.wsc,.wsc,8898560,2000,8192,True,False,2
774,file,root/content/release64/init/pop/twr_population.wsc,twr_population.wsc,.wsc,8949760,1513,4096,True,False,2
775,file,root/content/release64/init/pop/esc_population.wsc,esc_population.wsc,.wsc,8855552,3425,20480,True,False,2
776,file,root/content/release64/init/pop/coo_population.wsc,coo_population.wsc,.wsc,8843264,2174,12288,True,False,2
