offset,offset_hex,opcode,width,value,actor_kind,operand_hex
88295,0x158E7,37,1,10,eActorEnum_candidate,0A
88300,0x158EC,65,2,982,eActorEnum_candidate,03 D6
88303,0x158EF,37,1,14,eActorEnum_candidate,0E
88308,0x158F4,65,2,979,eActorEnum_candidate,03 D3
88311,0x158F7,37,1,21,eActorEnum_candidate,15
88316,0x158FC,65,2,1006,eActorEnum_candidate,03 EE
88319,0x158FF,37,1,25,eActorEnum_candidate,19
88324,0x15904,65,2,1004,eActorEnum_candidate,03 EC
88327,0x15907,37,1,32,eActorEnum_candidate,20
88332,0x1590C,65,2,1005,eActorEnum_candidate,03 ED
88335,0x1590F,37,1,39,eActorEnum_candidate,27
88340,0x15914,65,2,1007,eActorEnum_candidate,03 EF
88343,0x15917,37,1,49,eActorEnum_candidate,31
88351,0x1591F,65,2,1000,eActorEnum_candidate,03 E8
88358,0x15926,65,2,996,eActorEnum_candidate,03 E4
88365,0x1592D,65,2,987,eActorEnum_candidate,03 DB
88372,0x15934,65,2,976,eActorEnum_candidate,03 D0
88375,0x15937,37,1,10,eActorEnum_candidate,0A
88380,0x1593C,65,2,982,eActorEnum_candidate,03 D6
88383,0x1593F,37,1,14,eActorEnum_candidate,0E
88388,0x15944,65,2,979,eActorEnum_candidate,03 D3
88391,0x15947,37,1,21,eActorEnum_candidate,15
88396,0x1594C,65,2,1006,eActorEnum_candidate,03 EE
88399,0x1594F,37,1,25,eActorEnum_candidate,19
88404,0x15954,65,2,1004,eActorEnum_candidate,03 EC
88407,0x15957,37,1,32,eActorEnum_candidate,20
88412,0x1595C,65,2,1005,eActorEnum_candidate,03 ED
88415,0x1595F,37,1,36,eActorEnum_candidate,24
88420,0x15964,65,2,1007,eActorEnum_candidate,03 EF
88423,0x15967,37,1,41,eActorEnum_candidate,29
88428,0x1596C,65,2,1003,eActorEnum_candidate,03 EB
88431,0x1596F,37,1,49,eActorEnum_candidate,31
88471,0x15997,37,1,50,eActorEnum_candidate,32
88498,0x159B2,37,1,11,eActorEnum_candidate,0B
88579,0x15A03,65,2,487,gang_actor,01 E7
88590,0x15A0E,37,1,50,eActorEnum_candidate,32
88626,0x15A32,37,1,40,eActorEnum_candidate,28
88663,0x15A57,37,1,50,eActorEnum_candidate,32
88724,0x15A94,65,2,696,eActorEnum_candidate,02 B8
89321,0x15CE9,40,4,1077936128,,40 40 00 00
89346,0x15D02,37,1,64,eActorEnum_candidate,40
89368,0x15D18,37,1,31,eActorEnum_candidate,1F
89385,0x15D29,37,1,41,eActorEnum_candidate,29
89445,0x15D65,37,1,22,eActorEnum_candidate,16
89453,0x15D6D,37,1,22,eActorEnum_candidate,16
89461,0x15D75,37,1,22,eActorEnum_candidate,16
89471,0x15D7F,37,1,22,eActorEnum_candidate,16
89481,0x15D89,37,1,31,eActorEnum_candidate,1F
89532,0x15DBC,37,1,22,eActorEnum_candidate,16
89551,0x15DCF,37,1,10,eActorEnum_candidate,0A
89561,0x15DD9,37,1,17,eActorEnum_candidate,11
89571,0x15DE3,37,1,19,eActorEnum_candidate,13
89581,0x15DED,37,1,24,eActorEnum_candidate,18
89605,0x15E05,37,1,10,eActorEnum_candidate,0A
89613,0x15E0D,37,1,18,eActorEnum_candidate,12
