function_index,function_name,start_decoded_offset,start_decoded_offset_hex,end_decoded_offset,end_decoded_offset_hex,size,string_reference_count,native_call_count,constant_count,branch_count,table_block_count,purpose_tags
310,Function_310,61082,0xEE9A,61652,0xF0D4,570,0,6,18,63,0,[]
311,Function_311,61652,0xF0D4,61713,0xF111,61,0,2,0,4,0,[]
312,Function_312,61713,0xF111,61776,0xF150,63,0,3,1,4,0,[]
313,Function_313,61776,0xF150,61864,0xF1A8,88,0,3,3,8,0,[]
314,Function_314,61864,0xF1A8,61937,0xF1F1,73,0,1,4,8,0,[]
315,Function_315,61937,0xF1F1,62094,0xF28E,157,0,7,2,15,0,[]
316,Function_316,62094,0xF28E,62105,0xF299,11,0,1,0,0,0,[]
317,Function_317,62105,0xF299,62129,0xF2B1,24,0,0,0,3,0,[]
318,Function_318,62129,0xF2B1,62255,0xF32F,126,0,9,3,9,0,[]
319,Function_319,62255,0xF32F,62264,0xF338,9,0,0,0,1,0,[]
320,Function_320,62264,0xF338,62431,0xF3DF,167,0,2,2,17,0,[]
321,Function_321,62431,0xF3DF,62580,0xF474,149,0,8,0,7,0,[]
322,Function_322,62580,0xF474,62970,0xF5FA,390,2,11,6,17,0,[]
323,Function_323,62970,0xF5FA,63047,0xF647,77,0,7,0,4,0,[]
324,Function_324,63047,0xF647,63115,0xF68B,68,0,0,1,1,0,[]
325,Function_325,63115,0xF68B,63760,0xF910,645,11,2,21,53,0,[]
326,Function_326,63760,0xF910,63862,0xF976,102,0,0,0,8,0,[]
327,Function_327,63862,0xF976,63910,0xF9A6,48,0,0,4,2,0,[]
328,Function_328,63910,0xF9A6,63956,0xF9D4,46,0,0,4,2,0,[]
329,Function_329,63956,0xF9D4,63982,0xF9EE,26,0,2,0,1,0,[]
330,Function_330,63982,0xF9EE,64006,0xFA06,24,0,0,0,3,0,[]
331,Function_331,64006,0xFA06,64235,0xFAEB,229,1,1,3,13,0,[]
332,Function_332,64235,0xFAEB,64259,0xFB03,24,0,0,0,2,0,[]
333,Function_333,64259,0xFB03,64299,0xFB2B,40,0,0,0,3,0,[]
334,Function_334,64299,0xFB2B,64471,0xFBD7,172,2,2,4,17,0,[]
335,Function_335,64471,0xFBD7,64489,0xFBE9,18,0,0,0,1,0,[]
336,Function_336,64489,0xFBE9,64522,0xFC0A,33,1,3,0,1,0,[]
337,Function_337,64522,0xFC0A,64540,0xFC1C,18,0,0,0,1,0,[]
338,Function_338,64540,0xFC1C,64757,0xFCF5,217,0,13,7,27,0,[]
