archive,archive_path,entry_path,name,extension,layer,size,offset,is_resource,resource_type,base_name,name_hash
terrainboundres.rpf,D:\Games\Red Dead Redemption\game\terrainboundres.rpf,root/terrainboundres/territory_swall_noid/0ec02040_bnd.wtb,0ec02040_bnd.wtb,.wtb,terrain_bounds_wtb,75615,98738176,True,36,0ec02040_bnd,0xBF9F517B
terrainboundres.rpf,D:\Games\Red Dead Redemption\game\terrainboundres.rpf,root/terrainboundres/territory_swall_noid/08802b40_bnd.wtb,08802b40_bnd.wtb,.wtb,terrain_bounds_wtb,83211,41783296,True,36,08802b40_bnd,0x26CCD37A
terrainboundres.rpf,D:\Games\Red Dead Redemption\game\terrainboundres.rpf,root/terrainboundres/territory_swall_noid/0bc02180_bnd.wtb,0bc02180_bnd.wtb,.wtb,terrain_bounds_wtb,70954,71071744,True,36,0bc02180_bnd,0xBB602A97
terrainboundres.rpf,D:\Games\Red Dead Redemption\game\terrainboundres.rpf,root/terrainboundres/territory_swall_noid/0c802500_bnd.wtb,0c802500_bnd.wtb,.wtb,terrain_bounds_wtb,71568,77549568,True,36,0c802500_bnd,0x5408232B
terrainboundres.rpf,D:\Games\Red Dead Redemption\game\terrainboundres.rpf,root/terrainboundres/territory_swall_noid/0b402100_bnd.wtb,0b402100_bnd.wtb,.wtb,terrain_bounds_wtb,21236,66547712,True,36,0b402100_bnd,0x5B288F5E
terrainboundres.rpf,D:\Games\Red Dead Redemption\game\terrainboundres.rpf,root/terrainboundres/territory_swall_noid/0c4021c0_bnd.wtb,0c4021c0_bnd.wtb,.wtb,terrain_bounds_wtb,18549,74950656,True,36,0c4021c0_bnd,0x2B148AB3
terrainboundres.rpf,D:\Games\Red Dead Redemption\game\terrainboundres.rpf,root/terrainboundres/territory_swall_noid/194025c0_bnd.wtb,194025c0_bnd.wtb,.wtb,terrain_bounds_wtb,10445,204609536,True,36,194025c0_bnd,0x242FCD3B
terrainboundres.rpf,D:\Games\Red Dead Redemption\game\terrainboundres.rpf,root/terrainboundres/territory_swall_noid/17801d80_bnd.wtb,17801d80_bnd.wtb,.wtb,terrain_bounds_wtb,55387,190638080,True,36,17801d80_bnd,0x1AC1AFA4
terrainboundres.rpf,D:\Games\Red Dead Redemption\game\terrainboundres.rpf,root/terrainboundres/territory_swall_noid/19002300_bnd.wtb,19002300_bnd.wtb,.wtb,terrain_bounds_wtb,8707,203071488,True,36,19002300_bnd,0x13BC1B3C
terrainboundres.rpf,D:\Games\Red Dead Redemption\game\terrainboundres.rpf,root/terrainboundres/territory_swall_noid/120021c0_bnd.wtb,120021c0_bnd.wtb,.wtb,terrain_bounds_wtb,7812,127782912,True,36,120021c0_bnd,0x121BB9F4
terrainboundres.rpf,D:\Games\Red Dead Redemption\game\terrainboundres.rpf,root/terrainboundres/territory_swall_noid/04802680_bnd.wtb,04802680_bnd.wtb,.wtb,terrain_bounds_wtb,3193,1376256,True,36,04802680_bnd,0xBD97BF96
terrainboundres.rpf,D:\Games\Red Dead Redemption\game\terrainboundres.rpf,root/terrainboundres/territory_swall_noid/15002080_bnd.wtb,15002080_bnd.wtb,.wtb,terrain_bounds_wtb,44421,163164160,True,36,15002080_bnd,0x19703D5A
terrainboundres.rpf,D:\Games\Red Dead Redemption\game\terrainboundres.rpf,root/terrainboundres/territory_swall_noid/14001fc0_bnd.wtb,14001fc0_bnd.wtb,.wtb,terrain_bounds_wtb,30751,150163456,True,36,14001fc0_bnd,0xDFE8360C
terrainboundres.rpf,D:\Games\Red Dead Redemption\game\terrainboundres.rpf,root/terrainboundres/territory_swall_noid/12401cc0_bnd.wtb,12401cc0_bnd.wtb,.wtb,terrain_bounds_wtb,10658,129687552,True,36,12401cc0_bnd,0x758527AD
terrainboundres.rpf,D:\Games\Red Dead Redemption\game\terrainboundres.rpf,root/terrainboundres/territory_swall_noid/15001d40_bnd.wtb,15001d40_bnd.wtb,.wtb,terrain_bounds_wtb,14664,162609152,True,36,15001d40_bnd,0xCD277DE9
terrainboundres.rpf,D:\Games\Red Dead Redemption\game\terrainboundres.rpf,root/terrainboundres/territory_swall_noid/18801f40_bnd.wtb,18801f40_bnd.wtb,.wtb,terrain_bounds_wtb,10429,199004160,True,36,18801f40_bnd,0xC20F1E05
terrainboundres.rpf,D:\Games\Red Dead Redemption\game\terrainboundres.rpf,root/terrainboundres/territory_swall_noid/138020c0_bnd.wtb,138020c0_bnd.wtb,.wtb,terrain_bounds_wtb,20296,144844800,True,36,138020c0_bnd,0x0547FB80
terrainboundres.rpf,D:\Games\Red Dead Redemption\game\terrainboundres.rpf,root/terrainboundres/territory_swall_noid/0f802240_bnd.wtb,0f802240_bnd.wtb,.wtb,terrain_bounds_wtb,10668,106004480,True,36,0f802240_bnd,0x7BA56EC6
terrainboundres.rpf,D:\Games\Red Dead Redemption\game\terrainboundres.rpf,root/terrainboundres/territory_swall_noid/08002040_bnd.wtb,08002040_bnd.wtb,.wtb,terrain_bounds_wtb,12251,34834432,True,36,08002040_bnd,0x1AB625CD
terrainboundres.rpf,D:\Games\Red Dead Redemption\game\terrainboundres.rpf,root/terrainboundres/territory_swall_noid/16002680_bnd.wtb,16002680_bnd.wtb,.wtb,terrain_bounds_wtb,20880,177401856,True,36,16002680_bnd,0x5CFF6519
terrainboundres.rpf,D:\Games\Red Dead Redemption\game\terrainboundres.rpf,root/terrainboundres/territory_swall_noid/0e402b80_bnd.wtb,0e402b80_bnd.wtb,.wtb,terrain_bounds_wtb,9228,95641600,True,36,0e402b80_bnd,0x5E100768
terrainboundres.rpf,D:\Games\Red Dead Redemption\game\terrainboundres.rpf,root/terrainboundres/territory_swall_noid/0f402600_bnd.wtb,0f402600_bnd.wtb,.wtb,terrain_bounds_wtb,51805,104607744,True,36,0f402600_bnd,0xC2FB59FE
terrainboundres.rpf,D:\Games\Red Dead Redemption\game\terrainboundres.rpf,root/terrainboundres/territory_swall_noid/0a0024c0_bnd.wtb,0a0024c0_bnd.wtb,.wtb,terrain_bounds_wtb,26943,56774656,True,36,0a0024c0_bnd,0x1F158BEF
