offset,offset_hex,opcode,width,value,actor_kind,operand_hex
59008,0xE680,37,1,27,eActorEnum_candidate,1B
59021,0xE68D,37,1,100,eActorEnum_candidate,64
59026,0xE692,38,2,7062,,1B 96
59032,0xE698,65,2,3044,,0B E4
59051,0xE6AB,37,1,100,eActorEnum_candidate,64
59065,0xE6B9,37,1,27,eActorEnum_candidate,1B
59121,0xE6F1,37,1,33,eActorEnum_candidate,21
59146,0xE70A,37,1,19,eActorEnum_candidate,13
59155,0xE713,37,1,19,eActorEnum_candidate,13
59165,0xE71D,37,1,19,eActorEnum_candidate,13
59174,0xE726,37,1,19,eActorEnum_candidate,13
59181,0xE72D,37,1,19,eActorEnum_candidate,13
59196,0xE73C,37,1,19,eActorEnum_candidate,13
59208,0xE748,37,1,50,eActorEnum_candidate,32
59213,0xE74D,37,1,100,eActorEnum_candidate,64
59218,0xE752,65,2,3034,,0B DA
59257,0xE779,37,1,19,eActorEnum_candidate,13
59273,0xE789,37,1,19,eActorEnum_candidate,13
59282,0xE792,37,1,19,eActorEnum_candidate,13
59292,0xE79C,37,1,19,eActorEnum_candidate,13
59301,0xE7A5,37,1,19,eActorEnum_candidate,13
59308,0xE7AC,37,1,19,eActorEnum_candidate,13
59323,0xE7BB,38,2,4964,,13 64
59329,0xE7C1,65,2,3035,,0B DB
59361,0xE7E1,37,1,19,eActorEnum_candidate,13
59392,0xE800,37,1,11,eActorEnum_candidate,0B
59411,0xE813,37,1,9,eActorEnum_candidate,09
59441,0xE831,37,1,9,eActorEnum_candidate,09
59450,0xE83A,37,1,9,eActorEnum_candidate,09
59457,0xE841,37,1,9,eActorEnum_candidate,09
59469,0xE84D,37,1,9,eActorEnum_candidate,09
59484,0xE85C,38,2,2454,,09 96
59490,0xE862,65,2,3023,,0B CF
59522,0xE882,37,1,9,eActorEnum_candidate,09
59582,0xE8BE,37,1,11,eActorEnum_candidate,0B
59607,0xE8D7,37,1,8,eActorEnum_candidate,08
59633,0xE8F1,37,1,8,eActorEnum_candidate,08
59642,0xE8FA,37,1,8,eActorEnum_candidate,08
59649,0xE901,37,1,8,eActorEnum_candidate,08
59661,0xE90D,37,1,8,eActorEnum_candidate,08
59672,0xE918,37,1,8,eActorEnum_candidate,08
59684,0xE924,37,1,50,eActorEnum_candidate,32
59689,0xE929,37,1,100,eActorEnum_candidate,64
59694,0xE92E,65,2,3021,,0B CD
59700,0xE934,37,1,8,eActorEnum_candidate,08
59739,0xE95B,37,1,8,eActorEnum_candidate,08
59755,0xE96B,37,1,8,eActorEnum_candidate,08
59781,0xE985,37,1,8,eActorEnum_candidate,08
59790,0xE98E,37,1,8,eActorEnum_candidate,08
59797,0xE995,37,1,8,eActorEnum_candidate,08
59809,0xE9A1,37,1,8,eActorEnum_candidate,08
59820,0xE9AC,38,2,2148,,08 64
59826,0xE9B2,65,2,3022,,0B CE
59858,0xE9D2,37,1,8,eActorEnum_candidate,08
59889,0xE9F1,37,1,11,eActorEnum_candidate,0B
59934,0xEA1E,37,1,22,eActorEnum_candidate,16
59941,0xEA25,37,1,25,eActorEnum_candidate,19
59994,0xEA5A,37,1,50,eActorEnum_candidate,32
59999,0xEA5F,37,1,100,eActorEnum_candidate,64
60004,0xEA64,65,2,3019,,0B CB
60083,0xEAB3,37,1,22,eActorEnum_candidate,16
60090,0xEABA,37,1,25,eActorEnum_candidate,19
60133,0xEAE5,37,1,100,eActorEnum_candidate,64
60138,0xEAEA,65,2,3020,,0B CC
