variant,archive_path,layer,entry_index,is_resource,resource_type,expected_size,actual_size,expected_sha1,actual_sha1,status,note
A_converted_wsc_tree_only,root/content/release64/multiplayer/spectator/mp_spectatormk2.wsc,converted_xenon_pc_wsc,1842,True,2,3568,3568,FE5E40B1D79543B1E4CF02CB84372B770802AF8D,FE5E40B1D79543B1E4CF02CB84372B770802AF8D,exact_match,XENON XSC -> LZX decoded -> PC RSC85 WSC rewrap; runtime compatibility unproven
A_converted_wsc_tree_only,root/content/release64/multiplayer/support/mp_actorpicker.wsc,converted_xenon_pc_wsc,1846,True,2,20335,20335,65B8DD0DF272DE854FD181F86EFC4DF349AC49C6,65B8DD0DF272DE854FD181F86EFC4DF349AC49C6,exact_match,XENON XSC -> LZX decoded -> PC RSC85 WSC rewrap; runtime compatibility unproven
A_converted_wsc_tree_only,root/content/release64/multiplayer/tutorial/mp_tutorial.wsc,converted_xenon_pc_wsc,1855,True,2,2748,2748,3CBAA3E712D9EE35EF012987C75584F4BF27366F,3CBAA3E712D9EE35EF012987C75584F4BF27366F,exact_match,XENON XSC -> LZX decoded -> PC RSC85 WSC rewrap; runtime compatibility unproven
A_converted_wsc_tree_only,root/content/release/multiplayer/action_areas/fort_mercer/fortmercermp.wsc,converted_xenon_pc_wsc,1906,True,2,28999,28999,9CADD44E7F4C26118AC662E893F84198468BD1D2,9CADD44E7F4C26118AC662E893F84198468BD1D2,exact_match,XENON XSC -> LZX decoded -> PC RSC85 WSC rewrap; runtime compatibility unproven
A_converted_wsc_tree_only,root/content/release/multiplayer/action_areas/gaptooth_breach/gaptoothbreachmp.wsc,converted_xenon_pc_wsc,1909,True,2,31038,31038,4C700F7F59793C8FDD71FC800773BBFBFCB91496,4C700F7F59793C8FDD71FC800773BBFBFCB91496,exact_match,XENON XSC -> LZX decoded -> PC RSC85 WSC rewrap; runtime compatibility unproven
A_converted_wsc_tree_only,root/content/release/multiplayer/action_areas/genericmp_aa.wsc,converted_xenon_pc_wsc,1903,True,2,2808,2808,94A6BFE13B365021F406D4820800DF341409CDE1,94A6BFE13B365021F406D4820800DF341409CDE1,exact_match,XENON XSC -> LZX decoded -> PC RSC85 WSC rewrap; runtime compatibility unproven
A_converted_wsc_tree_only,root/content/release/multiplayer/action_areas/nosalida/nosalidamp.wsc,converted_xenon_pc_wsc,1912,True,2,27920,27920,3F68FB9726D3690722E4DD9FC174ED0E3DE08214,3F68FB9726D3690722E4DD9FC174ED0E3DE08214,exact_match,XENON XSC -> LZX decoded -> PC RSC85 WSC rewrap; runtime compatibility unproven
A_converted_wsc_tree_only,root/content/release/multiplayer/action_areas/pikes_basin/pikesbasinmp.wsc,converted_xenon_pc_wsc,1915,True,2,28777,28777,2309DA2EBDBEB87B5ACA0359FE1B0B9D78603C7E,2309DA2EBDBEB87B5ACA0359FE1B0B9D78603C7E,exact_match,XENON XSC -> LZX decoded -> PC RSC85 WSC rewrap; runtime compatibility unproven
A_converted_wsc_tree_only,root/content/release/multiplayer/action_areas/solomons_folly/solomonsfollymp.wsc,converted_xenon_pc_wsc,1918,True,2,26640,26640,550624B4982C7D45275014994F0F8BABBF67A340,550624B4982C7D45275014994F0F8BABBF67A340,exact_match,XENON XSC -> LZX decoded -> PC RSC85 WSC rewrap; runtime compatibility unproven
A_converted_wsc_tree_only,root/content/release/multiplayer/action_areas/tesoro_azul/tesoroazulmp.wsc,converted_xenon_pc_wsc,1921,True,2,28526,28526,B37EC7B653886CB5B90806F5FE16BC1FB569604F,B37EC7B653886CB5B90806F5FE16BC1FB569604F,exact_match,XENON XSC -> LZX decoded -> PC RSC85 WSC rewrap; runtime compatibility unproven
