string_offset,string_offset_hex,string_text,string_class,reference_instruction_offset,reference_instruction_offset_hex,owner_function_index,owner_function,owner_function_offset_range
78827,0x133EB,run,unknown,78825,0x133E9,266,Function_266,0x133DE..0x13690
78842,0x133FA,netrun,unknown,78840,0x133F8,266,Function_266,0x133DE..0x13690
78863,0x1340F,\,unknown,78861,0x1340D,266,Function_266,0x133DE..0x13690
78873,0x13419,/,unknown,78871,0x13417,266,Function_266,0x133DE..0x13690
78928,0x13450,ScriptConsole: This script file could not be found. Please check the path you typed.,likely logic anchor,78926,0x1344E,266,Function_266,0x133DE..0x13690
79018,0x134AA,ScriptConsole: This script file could not be found - ,debug/display text,79016,0x134A8,266,Function_266,0x133DE..0x13690
79101,0x134FD,.sc,unknown,79099,0x134FB,266,Function_266,0x133DE..0x13690
79113,0x13509,"ScriptConsole: If running a mission, please do not specify .sc at the end of the script name.",likely logic anchor,79111,0x13507,266,Function_266,0x133DE..0x13690
79215,0x1356F,systemtest/GeneralTest,unknown,79213,0x1356D,266,Function_266,0x133DE..0x13690
79351,0x135F7,ScriptConsole: The script could not be found. Try to specify a path.,debug/display text,79349,0x135F5,266,Function_266,0x133DE..0x13690
79425,0x13641,ScriptConsole: This script file could not be found - ,debug/display text,79423,0x1363F,266,Function_266,0x133DE..0x13690
79514,0x1369A,switchentity,unknown,79512,0x13698,267,Function_267,0x13690..0x13743
79606,0x136F6,variation ,debug/display text,79604,0x136F4,267,Function_267,0x13690..0x13743
79627,0x1370B,is out of range (,debug/display text,79625,0x13709,267,Function_267,0x13690..0x13743
79658,0x1372A,),unknown,79656,0x13728,267,Function_267,0x13690..0x13743
79716,0x13764,givecontrolback,unknown,79714,0x13762,269,Function_269,0x1375A..0x13785
80326,0x139C6,UserGPSPath,unknown,80324,0x139C4,278,Function_278,0x13985..0x13A10
80703,0x13B3F,tutorial,unknown,80701,0x13B3D,282,Function_282,0x13B10..0x13B85
80793,0x13B99,2,unknown,80791,0x13B97,283,Function_283,0x13B85..0x13BBF
80808,0x13BA8,3,unknown,80806,0x13BA6,283,Function_283,0x13B85..0x13BBF
80823,0x13BB7,4,unknown,80821,0x13BB5,283,Function_283,0x13B85..0x13BBF
80842,0x13BCA,tutorial,unknown,80840,0x13BC8,284,Function_284,0x13BBF..0x13C3B
81750,0x13F56,Current time is ,debug/display text,81748,0x13F54,291,Function_291,0x13F42..0x14006
81802,0x13F8A,Current pursuit time for faction is ,debug/display text,81800,0x13F88,291,Function_291,0x13F42..0x14006
