offset,offset_hex,opcode,width,value,actor_kind,operand_hex,candidate_source
26160,0x6630,,2,2,eActorEnum_candidate,00 02,raw_u16be_window
26161,0x6631,,2,512,gang_actor,02 00,raw_u16be_window
26162,0x6632,,2,117,eActorEnum_candidate,00 75,raw_u16be_window
26164,0x6634,,2,0,eActorEnum_candidate,00 00,raw_u16be_window
26165,0x6635,,2,0,eActorEnum_candidate,00 00,raw_u16be_window
26166,0x6636,,2,52,eActorEnum_candidate,00 34,raw_u16be_window
26168,0x6638,,2,111,eActorEnum_candidate,00 6F,raw_u16be_window
26170,0x663A,,2,0,eActorEnum_candidate,00 00,raw_u16be_window
26171,0x663B,,2,0,eActorEnum_candidate,00 00,raw_u16be_window
26172,0x663C,,2,53,eActorEnum_candidate,00 35,raw_u16be_window
26174,0x663E,,2,105,eActorEnum_candidate,00 69,raw_u16be_window
26176,0x6640,,2,0,eActorEnum_candidate,00 00,raw_u16be_window
26177,0x6641,,2,0,eActorEnum_candidate,00 00,raw_u16be_window
26178,0x6642,,2,54,eActorEnum_candidate,00 36,raw_u16be_window
26180,0x6644,,2,99,eActorEnum_candidate,00 63,raw_u16be_window
26182,0x6646,,2,0,eActorEnum_candidate,00 00,raw_u16be_window
26183,0x6647,,2,0,eActorEnum_candidate,00 00,raw_u16be_window
26184,0x6648,,2,50,eActorEnum_candidate,00 32,raw_u16be_window
26186,0x664A,,2,93,eActorEnum_candidate,00 5D,raw_u16be_window
26188,0x664C,,2,0,eActorEnum_candidate,00 00,raw_u16be_window
26189,0x664D,,2,0,eActorEnum_candidate,00 00,raw_u16be_window
26190,0x664E,,2,7,eActorEnum_candidate,00 07,raw_u16be_window
26192,0x6650,,2,92,eActorEnum_candidate,00 5C,raw_u16be_window
26194,0x6652,,2,0,eActorEnum_candidate,00 00,raw_u16be_window
26195,0x6653,,2,0,eActorEnum_candidate,00 00,raw_u16be_window
26196,0x6654,,2,49,eActorEnum_candidate,00 31,raw_u16be_window
26198,0x6656,,2,86,eActorEnum_candidate,00 56,raw_u16be_window
26200,0x6658,,2,0,eActorEnum_candidate,00 00,raw_u16be_window
26201,0x6659,,2,0,eActorEnum_candidate,00 00,raw_u16be_window
26202,0x665A,,2,55,eActorEnum_candidate,00 37,raw_u16be_window
26204,0x665C,,2,80,eActorEnum_candidate,00 50,raw_u16be_window
