offset,offset_hex,length,text,population_term,string_class
162216,0x279A8,20,rsdGPSTRAIL_curve120,,unknown
162252,0x279CC,20,rsdGPSTRAIL_curve119,,unknown
162286,0x279EE,35,"o""rsdGPSTRAIL_curve118rebuiltCurve1",,unknown
162337,0x27A21,20,rsdGPSTRAIL_curve117,,unknown
162373,0x27A45,20,rsdGPSTRAIL_curve116,,unknown
162409,0x27A69,20,rsdGPSTRAIL_curve112,,unknown
162445,0x27A8D,20,rsdGPSTRAIL_curve130,,unknown
162481,0x27AB1,20,rsdGPSTRAIL_curve132,,unknown
162517,0x27AD5,20,rsdGPSTRAIL_curve131,,unknown
162551,0x27AF7,49,o0rsdGPSTRAIL_curve121detachedCurve2rebuiltCurve1,,unknown
162614,0x27B36,62,o=rsdGPSTRAIL_curve217rebuiltCurve1rebuiltCurve1detachedCurve2,,unknown
162690,0x27B82,61,o<rsdGPSTRAIL_curve217rebuiltCurve1rebuiltCurve1rebuiltCurve1,,unknown
162765,0x27BCD,49,o0rsdGPSTRAIL_curve218rebuiltCurve1detachedCurve2,,unknown
162830,0x27C0E,24,rsdGPSTRAIL_but_mac_path,,unknown
162870,0x27C36,24,rsdGPSTRAIL_hen_thi_path,,unknown
162910,0x27C5E,29,rsdGPSTRAIL_butterBridge_path,,unknown
162955,0x27C8B,20,rsdGPSTRAIL_curve617,,unknown
162989,0x27CAD,55,o6rsdGPSTRAIL_arm_hen_pathdetachedCurve01detachedCurve2,,unknown
163058,0x27CF2,41,o(rsdGPSTRAIL_arm_hen_pathdetachedCurve01,,unknown
163312,0x27DF0,16,ramitaBayaBefore,,unknown
163334,0x27E06,15,ramitaBayaAfter,,unknown
163355,0x27E1B,16,rsdROAD_frb_road,,unknown
163379,0x27E33,20,rsdROAD_fom_frb_road,,unknown
163407,0x27E4F,20,rsdGPSTRAIL_curve221,,unknown
163438,0x27E6E,15,ramitaBayaAfter,,unknown
163459,0x27E83,16,ramitaBayaBefore,,unknown
163481,0x27E99,16,rsdROAD_frb_road,,unknown
163505,0x27EB1,20,rsdROAD_fom_frb_road,,unknown
163533,0x27ECD,20,rsdGPSTRAIL_curve221,,unknown
163573,0x27EF5,13,butterBridgeA,,unknown
163592,0x27F08,13,butterBridgeB,,unknown
163611,0x27F1B,13,butterBridgeC,,unknown
163630,0x27F2E,13,butterBridgeD,,unknown
163649,0x27F41,29,rsdGPSTRAIL_butterBridge_path,,unknown
163689,0x27F69,13,butterBridgeB,,unknown
163708,0x27F7C,13,butterBridgeA,,unknown
163727,0x27F8F,13,butterBridgeC,,unknown
163746,0x27FA2,13,butterBridgeD,,unknown
163765,0x27FB5,29,rsdGPSTRAIL_butterBridge_path,,unknown
163811,0x27FE3,17,tannersSpanBefore,,unknown
163842,0x28002,16,tannersSpanAfter,,unknown
163867,0x2801B,16,tannersSpanAfter,,unknown
163889,0x28031,17,tannersSpanBefore,,unknown
163921,0x28051,19,dixonCrossingBefore,,unknown
163946,0x2806A,18,dixonCrossingAfter,,unknown
163970,0x28082,20,rsdROAD_thi_blk_road,,unknown
163995,0x2809B,37,+o#rsdROAD_thi_blk_roaddetachedCurve2,,unknown
164040,0x280C8,20,rsdGPSTRAIL_curve124,,unknown
164068,0x280E4,20,rsdGPSTRAIL_curve132,,unknown
164099,0x28103,18,dixonCrossingAfter,,unknown
164123,0x2811B,19,dixonCrossingBefore,,unknown
164148,0x28134,20,rsdROAD_thi_blk_road,,unknown
164173,0x2814D,37,+o#rsdROAD_thi_blk_roaddetachedCurve2,,unknown
164218,0x2817A,20,rsdGPSTRAIL_curve124,,unknown
164246,0x28196,20,rsdGPSTRAIL_curve132,,unknown
164280,0x281B8,11,hen_barn01x,,unknown
164297,0x281C9,18,hen_barn02props01x,,unknown
164321,0x281E1,11,hen_barn02x,,unknown
164338,0x281F2,18,hen_barn01props01x,,unknown
164365,0x2820D,16,campoMiradaAfter,,unknown
164387,0x28223,17,campoMiradaBefore,,unknown
164419,0x28243,20,fronteraBridgeBefore,,unknown
164445,0x2825D,19,fronteraBridgeAfter,,unknown
164473,0x28279,19,fronteraBridgeAfter,,unknown
164498,0x28292,20,fronteraBridgeBefore,,unknown
164527,0x282AF,12,fod_gates01x,,unknown
164545,0x282C1,12,fod_gates02x,,unknown
164563,0x282D3,19,fod_gates02Doors01x,,unknown
164591,0x282EF,13,coc_fence01bx,,unknown
164610,0x28302,13,coc_fence03bx,,unknown
164629,0x28315,16,dlc_coc_gates02x,,unknown
164651,0x2832B,12,coc_fence01x,,unknown
164669,0x2833D,12,coc_fence03x,,unknown
164687,0x2834F,12,coc_gates01x,,unknown
164705,0x28361,12,coc_gates02x,,unknown
164732,0x2837C,17,masonBridgeBefore,,unknown
164755,0x28393,16,masonBridgeAfter,,unknown
164780,0x283AC,16,masonBridgeAfter,,unknown
164802,0x283C2,17,masonBridgeBefore,,unknown
164834,0x283E2,19,lmf_troughBefore01x,,unknown
164859,0x283FB,18,lmf_troughAfter01x,,unknown
164886,0x28416,18,lmf_troughAfter01x,,unknown
164910,0x2842E,19,lmf_troughBefore01x,,unknown
164938,0x2844A,11,morningStar,,unknown
164955,0x2845B,19,blk_barge01Props01x,,unknown
164980,0x28474,12,blk_barge01x,,unknown
164998,0x28486,24,blk_theatre_int_Props01x,,unknown
165028,0x284A4,19,blk_theatre_int_01x,,unknown
165053,0x284BD,27,dlc_blk_bank01_int_Props02x,,unknown
165086,0x284DE,23,blk_bank01_int_Props02x,,unknown
165115,0x284FB,16,blk_bank_int_02x,,unknown
165137,0x28511,22,blk_bank_int_shade_02x,,unknown
165165,0x2852D,27,blk_cityHall01_int_Props01x,,unknown
165198,0x2854E,20,blk_cityHall_int_01x,,unknown
165222,0x28566,34,o!blk_policeStation01_int_props02x,,debug/display text
165262,0x2858E,25,blk_policeStation_int_02x,,unknown
165291,0x285AB,34,o!blk_policeStation01_int_props01x,,debug/display text
165331,0x285D3,25,blk_policeStation_int_01x,,unknown
165360,0x285F0,33,o blk_policeStation_int_shades01x,,debug/display text
165399,0x28617,27,blk_blacksmith_int_Props01x,,unknown
165432,0x28638,22,blk_blacksmith_int_01x,,unknown
165460,0x28654,23,blk_church_int_Props01x,,unknown
165489,0x28671,18,blk_church_int_01x,,unknown
165513,0x28689,30,blk_doctorsOffice_int_Props01x,,unknown
165549,0x286AD,25,blk_doctorsOffice_int_01x,,unknown
165578,0x286CA,35,"o""blk_freightstation01_int_Props01x",,unknown
165619,0x286F3,26,blk_freightstation_int_01x,,unknown
165651,0x28713,29,blk_generalStore_int_Props01x,,unknown
165686,0x28736,29,blk_generalStore_int_Props02x,,unknown
165721,0x28759,24,blk_generalStore_int_01x,,unknown
165751,0x28777,25,blk_tailor01_int_Props01x,,unknown
165782,0x28796,18,blk_tailor_int_01x,,unknown
165806,0x287AE,29,blk_trainstation_int_Props01x,,unknown
165841,0x287D1,24,blk_trainstation_int_01x,,unknown
165871,0x287EF,24,blk_gunshop_int_Props01x,,unknown
165901,0x2880D,19,blk_gunshop_int_01x,,unknown
165926,0x28826,25,blk_theatre_int_shade_01x,,unknown
165957,0x28845,30,blk_generalStore_int_shade_01x,,unknown
165993,0x28869,24,blk_tailor_int_shade_01x,,unknown
166021,0x28885,33,o blk_doctorsOffice_int_shade_01x,,debug/display text
166060,0x288AC,27,blk_forgeMill_int_shade_01x,,unknown
166093,0x288CD,25,blk_sawMill_int_shade_01x,,unknown
